<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,"An invalid value is set in the CH1 output range setting by the switch setting for intelligent function module in MELSOFT application.","Reset to the correct parameter with MELSOFT application parameter setting."
0387,"The CH3 scaling upper/lower limit value is set outside the range of -32000 to 32000.","Correct the scaling upper/lower limit value (Un\G58 and Un\G59) within the range of -32000 to 32000."
0388,"The CH4 scaling upper/lower limit value is set outside the range of -32000 to 32000.","Correct the scaling upper/lower limit value (Un\G60 and Un\G61) within the range of -32000 to 32000."
0389,"The CH5 scaling upper/lower limit value is set outside the range of -32000 to 32000.","Correct the scaling upper/lower limit value (Un\G62 and Un\G63) within the range of -32000 to 32000."
038A,"The CH6 scaling upper/lower limit value is set outside the range of -32000 to 32000.","Correct the scaling upper/lower limit value (Un\G64 and Un\G65) within the range of -32000 to 32000."
038F,"The CH1 scaling lower limit value is equal to or greater than the scaling upper limit value.","Set CH1 scaling upper/lower limit value (Un\G54 and Un\G55) so that the scaling upper limit value is greater than the scaling lower limit value."
0390,"The CH2 scaling lower limit value is equal to or greater than the scaling upper limit value.","Set CH2 scaling upper/lower limit value (Un\G56 and Un\G57) so that the scaling upper limit value is greater than the scaling lower limit value."
0391,"The CH3 scaling lower limit value is equal to or greater than the scaling upper limit value.","Set CH3 scaling upper/lower limit value (Un\G58 and Un\G59) so that the scaling upper limit value is greater than the scaling lower limit value."
0392,"The CH4 scaling lower limit value is equal to or greater than the scaling upper limit value.","Set CH4 scaling upper/lower limit value (Un\G60 and Un\G61) so that the scaling upper limit value is greater than the scaling lower limit value."
0393,"The CH5 scaling lower limit value is equal to or greater than the scaling upper limit value.","Set CH5 scaling upper/lower limit value (Un\G62 and Un\G63) so that the scaling upper limit value is greater than the scaling lower limit value."
0394,"The CH6 scaling lower limit value is equal to or greater than the scaling upper limit value.","Set CH6 scaling upper/lower limit value (Un\G64 and Un\G65) so that the scaling upper limit value is greater than the scaling lower limit value."
</ERRCODE>,,
