<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0001,"Faults
* Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
0324,"Dedicated instruction error
* The ABRST instruction is executed with the status set to other than 0.
* The PSTRT instruction is executed with the start No. set to other than 10 to 600, 7000 to 7004 and 9001 to 9004.
* The TEACH instruction is executed with the teaching data selection set to other than 0 and 1.
* The TEACH instruction is executed with the positioning data No. set to other than 1 to 600.
* The instruction of a non-existent axis is specified by the ABRST , PSTRT or TEACH instruction.","* When executing the ABRST instruction, set the status to 0.
* When executing the PSTRT instruction, set the start No. to within the setting range.
* When executing the TEACH instruction, set the teaching data selection and positioning data No. to within the setting range.
* Do not specify the instruction of a non-existent axis by the ABRST , PSTRT and TEACH instructions."
0325,"Flash ROM write number error
Data is written to the flash ROM continuously 25 times or more from the sequence program.","Review the sequence program so that data is not written continuously to the flash ROM. (If this error has occurred in a proper using method, writing is enabled by resetting the error, switching power OFF, then ON, or resetting the PLC CPU.)"
0326,"Dedicated instruction I/F error,
Mismatching occurs between the PLC CPU and QD75.","A trouble occurs. Repair."
0384,"Outside unit setting range
The set range of the basic parameter 1 'Unit setting' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
0385,"Outside pulse number per rotation range
The set range of the basic parameter 1 'No. of pulses per rotation' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
0386,"Outside movement amount per rotation range
The set range of the basic parameter 1 'Movement amount per rotation' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
0387,"Outside unit magnification range
The set range of the basic parameter 1 'Unit magnification' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
0388,"Pulse output mode error
The set range of the basic parameter 1 'Pulse output mode' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
0389,"Rotation direction setting error
The set range of the basic parameter 1 'Rotation direction setting' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
038A,"Outside bias speed range
* The set range of the basic parameter 1 'Bias speed at start' is outside the setting range.
* The bias speed exceeds the speed limit.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
038E,"Outside speed limit value range
* The set range of the basic parameter 2 'Speed limit value' is outside the setting range.
* The value obtained by the conversion of the speed limit value with respect to the frequency exceeds the maximum output frequency of the unit.
* The speed limit value is smaller than the OPR speed.","Set the bias speed to not more than the speed limit value.
With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
038F,"Outside acceleration time 0 range
The set range of the basic parameter 2 'Acceleration time 0' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
0390,"Outside deceleration time 0 range
The set range of the basic parameter 2 'Deceleration time 0' is outside the setting range.","With the setting brought into the setting range, turn thePLC READY signal [Y0] from OFF to ON."
0398,"Backlash compensation amount error
The value converted into pulse number using the movement amount per pulse is 256 pulses or more.","Set the value converted into the pulse number using 'the movement amount per pulse' to less than 256 pulses."
0399,"Software stroke limit upper limit
* In the unit of degree, the set value of the detailed parameter 1 'Software stroke limit upper limit value' is outside the setting range.
* In a unit other than degree, the software stroke limit upper limit value is smaller than the software stroke limit lower limit value.","* Bring the setting into the setting range.
* In a unit other than degree, set the setting so that the lower limit value is smaller than the upper limit value."
039A,"Software stroke limit lower limit
* In the unit of degree, the set range of the detailed parameter 1 'Software stroke limit lower limit value' is outside the setting range.
* In a unit other than degree, the software stroke limit upper limit value is smaller than the software stroke limit lower limit value.","* Bring the setting into the setting range.
* In a unit other than degree, set so that the lower limit value is smaller than the upper limit value."
039B,"Software stroke limit selection
The set range of the detailed parameter 1 'Software stroke limit selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
039C,"Software stroke limit valid/invalid setting
The set range of the detailed parameter 1 'Software stroke limit valid/invalid setting' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
039D,"Command in-position width
The set range of the detailed parameter 1 'Command in-position width' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
039E,"Illegal torque limit setting value
The set range of the detailed parameter 1 'Torque limit setting value' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
039F,"M code ON timing error
The set range of the detailed parameter 1 'M code ON signal output timing' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03A0,"Speed changeover mode error
The set range of the detailed parameter 1 'Speed changeover mode' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03A1,"Interpolation speed designation method error
The set range of the detailed parameter 1 'Interpolation speed designation method' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03A2,"Current value update request error
The set range of the detailed parameter 1 'Current feed value during speed control' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03A4,"Manual pulse generator input mode error
The set range of the detailed parameter 1 'Manual pulse generator input selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03A7,"Speed-position function selection error
The detailed parameter 1 'speedposition function selection' is preset to 2 and the following three conditions are not satisfied:
1) Unit is 'degree'.
2) Software stroke limits are invalid.
3) Update current feed value.","Speed-position switching control (ABS mode) should satisfy the conditions 1) to 3) given on the left. When speed-position switching control (ABS mode) is not to be exercised, set 0 to speed-position function selection and turn the PLC READY signal (Y0) from OFF to ON."
03B6,"Acceleration time 1 setting error
The set range of the detailed parameter 2 'Acceleration time 1' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03B7,"Acceleration time 2 setting error
The set range of the detailed parameter 2 'Acceleration time 2' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03B8,"Acceleration time 3 setting error
The set range of the detailed parameter 2 'Acceleration time 3' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03B9,"Deceleration time 1 setting error
The set range of the detailed parameter 2 'Deceleration time 1' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03BA,"Deceleration time 2 setting error
The set range of the detailed parameter 2 'Deceleration time 2' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03BB,"Deceleration time 3 setting error
The set range of the detailed parameter 2 'Deceleration time 3' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03BC,"JOG speed limit value error
* The set range of the detailed parameter 2 'JOG speed limit value' is outside the setting range.
* The set range of the detailed parameter 2 'JOG speed limit value' exceeds the speed limit.","* With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON.
* Bring the setting into the speed limit value or below."
03BD,"JOG acceleration time selection setting error
The set range of the detailed parameter 2 'JOG acceleration time selection setting' is outside the setting range.","* With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON.
* Bring the setting into the speed limit value or below."
03BE,"JOG deceleration time selection setting error
The set range of the detailed parameter 2 'JOG deceleration time selection setting' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03BF,"Acceleration/deceleration process selection setting error
The set range of the detailed parameter 2 'Acceleration/deceleration process selection setting' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C0,"S-curve ratio setting error
The set range of the detailed parameter 2 'S-curve ratio' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C1,"Illegal sudden stop deceleration time
The set range of the detailed parameter 2 'Sudden stop deceleration time' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C2,"Stop group 1 sudden stop selection error
The set range of the detailed parameter 2 'Stop group 1 sudden stop selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C3,"Stop group 2 sudden stop selection error
The set range of the detailed parameter 2 'Stop group 2 sudden stop selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C4,"Stop group 3 sudden stop selection error
The set range of the detailed parameter 2 'Stop group 3 sudden stop selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C6,"Outside allowance circular interpolation error width
The set range of the detailed parameter 2 'Allowance circular interpolation error width' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03C7,"External command function selection error
The set range of the detailed parameter 2 'External command function selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03D4,"OPR method error
The set range of the OPR basic parameter 'OPR method' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03D5,"OPR direction error
The set range of the OPR basic parameter 'OPR direction' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03D6,"OP address setting error
The set range of the OPR basic parameter 'OP address' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03D7,"OPR speed error
* The set range of the OPR basic parameter 'OPR speed' is outside the setting range.
* The set range of the OPR basic parameter 'OPR speed' is smaller than the bias speed at start.","* Bring the setting into the setting range.
* Set the speed to the bias speed at start or higher."
03D8,"Creep speed error
* The set range of the OPR basic parameter 'Creep speed' is outside the setting range.
* The set range of the OPR basic parameter 'Creep speed' is larger than the OPR speed.
* The set range of the OPR basic parameter 'Creep speed' is smaller than the bias speed at start.","* Bring the setting into the setting range.
* Set the speed to that below the OPR speed.
* Set the value to the bias speed at start or higher."
03D9,"OPR retry error
The set range of the OPR basic parameter 'OPR retry' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03DE,"OPR dwell time error
The set range of the OPR detailed parameter 'OPR dwell time' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03DF,"Setting for the movement amount after near-point dog ON error
The set range of the OPR detailed parameter 'Setting for the movement amount after near-point dog ON' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03E0,"OPR acceleration time selection error
The set range of the OPR detailed parameter 'OPR acceleration time selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03E1,"OPR deceleration time selection error
The set range of the OPR detailed parameter 'OPR deceleration time selection' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03E3,"OPR torque limit value error
* The set range of the OPR detailed parameter 'OPR torque limit value' is outside the setting range. 
* The OPR detailed parameter 'OPR torque limit value' has exceeded the detailed parameter 1 'Torque limit setting value'.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03E4,"Deviation counter clear signal output time setting error
The set range of the OPR detailed parameter 'Deviation counter clear signal output time' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
03E5,"Speed designation during OP shift error
The set range of the OPR detailed parameter 'Speed designation during OP shift' is outside the setting range.","With the setting brought into the setting range, turn the PLC READY signal [Y0] from OFF to ON."
</ERRCODE>,,
