<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,インテリジェント機能ユニットスイッチ設定で，CH1の測定レンジ設定が0～5,8以外の設定になっています。,インテリジェント機能ユニットスイッチ設定で，正しく設定し直してください。
01FF,オフセット･ゲイン設定モードで，CH1のオフセット設定要求(Y1)，またはゲイン設定要求(Y2)をONした時，そのチャンネルの「オフセット値」または「ゲイン値」が，測定レンジの範囲外の設定になっています。,測定レンジの範囲を確認し，オフセット値／ゲイン値を範囲内に直してください。
0200,オフセット･ゲイン設定モードで，CH2のオフセット設定要求(Y3)，またはゲイン設定要求(Y4)をONした時，そのチャンネルの「オフセット値」または「ゲイン値」が，測定レンジの範囲外の設定になっています。,測定レンジの範囲を確認し，オフセット値／ゲイン値を範囲内に直してください。
0201,オフセット･ゲイン設定モードで，CH3のオフセット設定要求(Y5)，またはゲイン設定要求(Y6)をONした時，そのチャンネルの「オフセット値」または「ゲイン値」が，測定レンジの範囲外の設定になっています。,測定レンジの範囲を確認し，オフセット値／ゲイン値を範囲内に直してください。
0202,オフセット･ゲイン設定モードで，CH4のオフセット設定要求(Y7)，またはゲイン設定要求(Y8)をONした時，そのチャンネルの「オフセット値」または「ゲイン値」が，測定レンジの範囲外の設定になっています。,測定レンジの範囲を確認し，オフセット値／ゲイン値を範囲内に直してください。
0209,オフセット･ゲイン設定モードで，CH1のオフセット設定要求とゲイン設定要求が同時にONされています。,同時にONしないようにシーケンスプログラムを見直してください。
020A,オフセット･ゲイン設定モードで，CH2のオフセット設定要求とゲイン設定要求が同時にONされています。,同時にONしないようにシーケンスプログラムを見直してください。
020B,オフセット･ゲイン設定モードで，CH3のオフセット設定要求とゲイン設定要求が同時にONされています。,同時にONしないようにシーケンスプログラムを見直してください。
020C,オフセット･ゲイン設定モードで，CH4のオフセット設定要求とゲイン設定要求が同時にONされています。,同時にONしないようにシーケンスプログラムを見直してください。
0259,CH1に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値が測定範囲を下回っている）,バッファメモリのアドレス86～93(Un\G86～93)の内容を設定し直してください。
025A,CH2に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値が測定範囲を下回っている）,バッファメモリのアドレス94～101(Un\G94～101)の内容を設定し直してください。
025B,CH3に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値が測定範囲を下回っている）,バッファメモリのアドレス102～109(Un\G102～109)の内容を設定し直してください。
025C,CH4に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値が測定範囲を下回っている）,バッファメモリのアドレス110～117(Un\G110～117)の内容を設定し直してください。
0263,CH1に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上上限値が測定範囲を上回っている）,バッファメモリのアドレス86～93(Un\G86～93)の内容を設定し直してください。
0264,CH2に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上上限値が測定範囲を上回っている）,バッファメモリのアドレス94～101(Un\G94～101)の内容を設定し直してください。
0265,CH3に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上上限値が測定範囲を上回っている）,バッファメモリのアドレス102～109(Un\G102～109)の内容を設定し直してください。
0266,CH4に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上上限値が測定範囲を上回っている）,バッファメモリのアドレス110～117(Un\G110～117)の内容を設定し直してください。
026D,CH1に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値＞下上限値）,バッファメモリのアドレス86～93(Un\G86～93)の内容を設定し直してください。
026E,CH2に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値＞下上限値）,バッファメモリのアドレス94～101(Un\G94～101)の内容を設定し直してください。
026F,CH3に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値＞下上限値）,バッファメモリのアドレス102～109(Un\G102～109)の内容を設定し直してください。
0270,CH4に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下下限値＞下上限値）,バッファメモリのアドレス110～117(Un\G110～117)の内容を設定し直してください。
0277,CH1に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下上限値＞上下限値）,バッファメモリのアドレス86～93(Un\G86～93)の内容を設定し直してください。
0278,CH2に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下上限値＞上下限値）,バッファメモリのアドレス94～101(Un\G94～101)の内容を設定し直してください。
0279,CH3に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下上限値＞上下限値）,バッファメモリのアドレス102～109(Un\G102～109)の内容を設定し直してください。
027A,CH4に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（下上限値＞上下限値）,バッファメモリのアドレス110～117(Un\G110～117)の内容を設定し直してください。
0281,CH1に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上下限値＞上上限値）,バッファメモリのアドレス86～93(Un\G86～93)の内容を設定し直してください。
0282,CH2に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上下限値＞上上限値）,バッファメモリのアドレス94～101(Un\G94～101)の内容を設定し直してください。
0283,CH3に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上下限値＞上上限値）,バッファメモリのアドレス102～109(Un\G102～109)の内容を設定し直してください。
0284,CH4に，使用する測温抵抗体で規定される測定可能な温度範囲を超える警報出力上・下限値が設定されています。（上下限値＞上上限値）,バッファメモリのアドレス110～117(Un\G110～117)の内容を設定し直してください。
</ERRCODE>,,
