<GROUP>,,,
4000-4FFF,Error detected by PLC CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
7000-7FFF,"Error detected by the serial communication module,etc.",Take measure referring to the troubleshooting section of the Serial Communication Module User's Manual,ERR_QJ71C24.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
E000-EFFF,Error detected by the CC IE Control module,Take measure referring to the troubleshooting section of the CC IE Control network system reference Manual,ERR_QJ71GP21.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
C001,"* At initial processing, the IP address setting value of the Ethernet module is incorrect.
* When using the router relay function, the setting value of the sub-net mask field is incorrect.","* Correct the IP address.
Set the class to A/B/C.
* Correct the sub-net mask.",
C002,"At initial setting, some of the various timer setting values are outside the allowable range. ",* Review and correct the necessary timer values at initial processing.,
C003,"At initial setting, the setting value of the automatic open UDP port number is outside the allowable range.",* Correct the automatic open UDP port number.,
C004,The setting value of the sub-net mask field is incorrect.,* Correct the sub-net mask and execute the initial processing again.,
C005,"* The setting value of the default router IP address for the router relay function is incorrect.
* Network ID (network ID after sub-net mask) of the default router IP address is different from the network ID of the local station's Ethernet module IP address.","* Correct the default router IP address and execute the initial processing again.
* Set the network ID to the same network ID as the local station's Ethernet module IP address.",
C021,An abnormal end response was received after a transmission using fixed buffers.,"* Read the end code of the response from the connection end code/error log area, and handle as needed."
C022,A response could not be received within the response monitoring timer value.,"* Check the operation of the external device.
* Review and correct the response monitoring timer value."
C023,The open processing for the applicable connection is not completed.,* Execute the open processing of the applicable connection.
C030,A sending error occurred.,"* Check the operation of the transceiver and external device.
* Use a transceiver that allows the SQE test.
* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty."
C031,A sending error occurred.,* Conduct a self-diagnosis test to see whether or not the Ethernet module is faulty.
C032,"A TCP ULP timeout error occurred in the TCP/IP communication.
(An external device does not return ACK.)","* Check the operation of the external device.
* Correct the TCP ULP timeout value and execute the initial processing again.
* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C033,An external device side with the set IP address does not exist.,"* Review and correct the external device's IP address and the Ethernet address.
* If the external device has the ARP function, set the default value. If not, set the Ethernet address of the external device.
* Check the operation of the external device.
* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C035,The existence of an external device could not be confirmed within the response monitoring timer value.,"* Check the operation of the external device. 
* Review and correct each setting value for the existence confirmation.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty."
C036,Send processing cannot be executed because a cable is not yet connected or disconnected.,"* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty.
* Conduct a loopback test to see that the line is not faulty.
* Conduct a self-diagnosis test to see that the Ethernet module is not faulty. "
C040,"* Not all the data could be received within the response monitoring timer value.
* Sufficient data for the data length could not be received.
* The remaining part of a message divided at the TCP/IP level could not be received within the response monitoring timer value.","* Review and correct the data length of the communication data.
* Review and correct each setting value at the initial processing because the packets may be congested on the line.
* Send the same data from the external device again."
C041,"When TCP is used, the checksum of the receive data is incorrect.","* Review the checksum on the external device side and send the correct value.
* Investigate the conditions of the line (noise, distance between the line and power line, contact of each device, etc.)"
C042,"When UDP is used, the checksum of the receive data is incorrect.","* Review the checksum on the external device side and send the correct value.
* Investigate the conditions of the line (noise, distance between the line and power line, contact of each device, etc.)"
C043,The checksum in header of IP packet received is incorrect.,"* Review the checksum on the external device side and send the correct value.
* Investigate the conditions of the line (noise, distance between the line and power line, contact of each device, etc.)"
C044,An error packet of ICMP was received.,"* Check the operation of the external device.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C045,An error packet of ICMP was received.,"* Check the operation of the external device.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C046,An error packet of ICMP was received.,"* Check the operation of the external device.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C047,An error packet of ICMP was received.,"* Check the operation of the external device.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C048,An error packet of ICMP was received.,"* Check the operation of the external device.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty. "
C049,An error packet of ICMP was received.,"* Check the operation of the external device.
* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty.
* Correct the IP assembly timer value of the external device existence timer timeout."
C04A,"An error packet of ICMP was received.
(An IP assembly timeout error occurred in an external device.)","* Check the operation of the external device.
* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty.
* Correct the IP assembly timer value of the external device existence timer timeout."
C04B,"An IP assembly timeout error occurred.
(The remaining part of divided data could not be received and a timeout occurred.)","* Check the operation of the external device.
* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty.
* Correct the IP assembly timer value and execute the initial processing again."
C04C,"Cannot send because there is no space in the internal buffer, e.g. the IP header buffer.",* Send the same data again and check that the response is received.
C04D,"* In a message the Ethernet module received through automatic open UDP port communication or non procedure fixed buffer communication, the data length designated in the application data field is incorrect.
* Not all the receive data can be stored.","* Review the data length.
* Review the text size length so that the text data becomes less than the receive buffer memory size."
C050,ASCII code data that cannot be converted to binary code is received when ASCII code communication is set in the operational settings of the Ethernet module.,"* Select binary code communication in the operational settings, and restart the Ethernet module.
* Correct the data sent from the external side and send again."
C051,The number of read/write points is outside the allowable range.,* Correct the number of read/write points and send to the Ethernet module again.
C052,The number of read/write points is outside the allowable range.,* Correct the number of read/write points and send to the Ethernet module again.
C053,The number of read/write points is outside the allowable range.,* Correct the number of read/write points and send to the Ethernet module again.
C054,The number of read/write points is outside the allowable range.,* Correct the number of read/write points and send to the Ethernet module again.
C055,The number of file data read/write points is outside the allowable range.,* Correct the number of read/write points (or byte points) and send to the Ethernet module again.
C056,"* Read/write request exceeds the maximum address.
* Address is 0.","* Correct the head address or the number of read/write points and send to the Ethernet module again.
(The maximum address must not be exceeded.)"
C057,Request data length does not match with data count in character area (part of text).,"* Review and correct the content of the text area or the request data length of Qn header, and send to the Ethernet module again."
C058,Request data length after ASCII-binary conversion does not match with data count in character area (part of text).,"* Review and correct the content of the text area or the request data length of Qn header, and send to the Ethernet module again."
C059,Incorrect designation of command and subcommand.,* Review the content of the request.
C05A,The Ethernet module cannot read from/write to the designated device.,* Examine the device to be read/written.
C05B,The Ethernet module cannot read from/write to the designated device.,* Examine the device to be read/written.
C05C,"The content of a request is incorrect.
(Requesting read/write in bit units to word devices.)","* Correct the content of the request and send to the Ethernet module again.
(Correction of subcommand, etc.)"
C05D,Monitor registration is not performed.,* Monitor after performing monitor registration.
C05E,Communication time between the Ethernet module and PLC CPU exceeded the CPU monitoring timer.,"* Increase the CPU monitoring timer value.
* Check whether or not the PLC CPU operates normally.
* Check whether the network number and PC number are correct.
* Check and correct the routing parameter setting when the target is on another network.
* Check for duplication of the network number when the target is on another network."
C05F,The request could not be executed on the target PLC.,"* Correct the network number and PC number.
* Correct the content of the read/write request."
C060,"The content of a request is incorrect.
(Incorrect data was designated for bit devices, etc.)","* Correct the content of the request and send to the Ethernet module again.
(Correction of data, etc.)"
C061,Request data length does not match with the number of data in character area (part of text).,"* Review and correct the content of the text area or the request data length of the Qn header, and send it to the Ethernet module again."
C062,"When online correction was inhibited, write operation via MC protocol (QnA-compatible 3E frame or 4E frame) was performed for the remote I/O station.","* When performing write operation to the remote I/O station via the MC protocol (QnA-compatible 3E frame or 4E frame), ""enable"" the online correction setting of the operation setting."
C070,Extension of device memory cannot be designated for the target station.,"* Read/write without designating extension.
Device memory extension can be designated only for stations with Ethernet modules installed and Q/QnACPUs that connect via the CC IE Control, MELSECNET/H, MELSECNET/10."
C071,Too many devices points to read/write for other than the Q/QnACPU.,* Correct the number of device points to read/write and send it to the Ethernet module again.
C072,"The content of a request is incorrect.
(Requested read/write in bit units to word devices.)","* Check whether the content can be requested to the target PLC CPU.
* Correct the content of the request and send it to the Ethernet module again.
(Correction of subcommand, etc.)"
C073,"Request was not supported by the Ethernet module of the target PLC CPU.
(Double word address points was designated for other than Q/QnACPU, etc.)",* Review the content of the request.
C074,Request could not be executed on the target PLC.,"* Correct the network number and PC number.
* Correct the content of the read/write request."
C080,"The IP address of an external device could not be obtained during CC IE Control, MELSECNET/H, MELSECNET/10 relay communication or data link instruction communication.","* Set the Station No. <-> IP information for the Ethernet module.
* Change the parameter conversion method for the CC IE Control, MELSECNET/H, MELSECNET/10."
C081,The end processing for the Ethernet module has been completed and data link instruction communication cannot be checked.,* Execute the end processing of the Ethernet module after all communication is over.
C082,"Communication processing was abnormally completed in following communication.
* Communication with GX Developer (UDP/IP)
* CC IE Control, MELSECNET/H, MELSECNET/10 relay.","*  Check that the relay station/external station operates normally. 
(If communication is continuing, it is not necessary to take actions for the error.)
* Check whether or not the cable connection between the local station and external station is faulty.
* If some load is applied to the line, reduce the load."
C083,Communication processing was abnormally completed in data link instruction communication.,"*  Check that the relay station/external station operates normally. 
(If communication is continuing, it is not necessary to take actions for the error.)
* Check whether or not the cable connection between the local station and external station is faulty.
* If some load is applied to the line, reduce the load."
C084,Communication processing was abnormally completed in data link instruction communication,"* Check that the local station/relay station and external station operate normally.
* Check whether or not the cable connection between the local station and external station is faulty.
* Increase TCP resend timer value."
C085,The local station's channel designated by another station in data link instruction communication is currently in use.,* Execute the request from the other station again.
C086,A message exceeding the receive message size was received.,* Correct the send message size from the requesting source.
C087,"There is an error in the IP address for the Station No. <-> IP information setting for CC IE Control, MELSECNET/H, MELSECNET/10 relay communication.","* In the Station No. <-> IP information setting, set the IP address of the target device for CC IE Control, MELSECNET/H, MELSECNET/10 relay communication."
C0B2,"Insufficient free space in receive buffer of the relay station for MELSOFT connection or data link instruction, or the communication requested station. (Receive buffer full error)","* Provide sufficient time between request intervals
* Reduce the number of request nodes.
* Wait for a response to the request and issue the next request after receiving the response.
* Review the time-out value."
C0B3,A request that could not be processed from the PLC CPU was made.,"* Review the content of the request.
* Correct the network number and PC number."
C0B5,Data that could not be processed by the PLC CPU/Ethernet module was designated.,"* Review the content of the request.
* Cancel the current request."
C0B6,A channel number is outside the allowable range.,* Designate the channel number in the range from 1 to 8.
C0B7,A channel number currently in use was designated.,"* Change the channel number.
* Execute after the current communication is completed."
C0B8,"Network number and PC number are outside the allowable range.
A response from the PLC CPU is faulty.","* Correct the network number and PC number.
* Check the operation of the PLC CPU."
C0B9,The open processing of the TCP connection has not been completed.,"* Execute the open processing.
* Check the operation of the external device."
C0BA,Cannot acknowledge sending request since the close processing is being executed via the CLOSE instruction.,* Execute the open processing and make a sending request.
C0BB,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0BC,Designated communication line is closed.,"* Open the communication line.
* Review the target connection number."
C0BD,Cannot send by acknowledging continuous requests.,* Check whether or not requests are made continuously without waiting for responses.
C0BE,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0BF,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0C0,The open processing of the UDP connection has not been completed.,"* Execute the open processing.
* Check the operation of the external device."
C0C1,The transmission interval of UDP is too short.,"* Check whether or not sending requests are repeated.
* Make the sending interval longer."
C0C2,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0C3,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0C4,The UINI instruction has been executed during communication.,* Close all connections before executing the UINI instruction.
C0C5,"* A sending request was made to an external device whose class/network ID are different from those of the local station when the router relay function is not used.
* The setting of the router relay parameter is incorrect.","* Execute the initial processing by setting that the router relay function should be used.
* Set the correct data for the router relay parameter.
* Correct the IP address of the external device and execute the open processing.
* Check that the network ID is correct.
When it is changed, execute the initial processing again."
C0C6,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0C7,An Ethernet module system error occurred.,"* Execute the initial processing again.
* Execute the processing by referring Section 11.4 POINT (3)."
C0C8,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0C9,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0CA,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0CB,Another sending request was made when the sending processing has not been completed.,* Make the next sending request after the previous sending is completed.
C0CC,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0CF,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0D0,Incorrect data length was designated.,* Review the designated value of the data length.
C0D1,Incorrect resent count was designated.,* Review the designation of the resent count.
C0D2,Incorrect watchdog time was designated.,* Review the designated value of the watchdog timer.
C0D3,"The number of relay stations in CC IE Control, MELSECNET/H, MELSECNET/10 exceeded the allowable count.","* Check the designated value of the destination.
* Review the Station No. <-> IP information between the local station and destination.
* Review the system specifications."
C0D4,"The number of relay stations in CC IE Control, MELSECNET/H, MELSECNET/10 exceeded the allowable count.","* Check the designated value of the destination.
* Review the Station No. <-> IP information between the local station and destination.
* Review the system specifications."
C0D5,Incorrect retry count was designated.,* Review the retry count.
C0D6,The designations of network number or station number were incorrect.,"* Review the content of the destination designation.
* Review the designated values of the destination."
C0D7,Data were sent without the initial processing completed.,"* Set the parameters on GX Developer, and write them to the CPU module before communication with the external device.
* Start communication with the external device after completing the initial processing."
C0D8,The number of blocks exceeded the range.,* Correct the designation value for the number of blocks.
C0D9,Incorrect subcommand value was designated.,* Correct the designated value for the subcommand.
C0DA,A response to the PING test could not be received within the time of the communication time check.,"* Review the IP address/host name of the Ethernet module for the PING test.
* Change the status of the Ethernet module for the PING to allow communication (to the status after the initial processing is completed)."
C0DB,There is an error in the IP address/host name of the Ethernet module for the PING test.,* Review the IP address/host name of the Ethernet module for the PING test.
C0DC,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0DD,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0DE,Data could not be received within the designated watchdog time.,"* Review the designated value of the watchdog timer.
* Review the designated value of the channel number.
* Check the status of the sending source station and relay station."
C0DF,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0E0,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E1,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E2,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E3,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E4,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E5,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E6,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E7,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E8,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0E9,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0EA,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0EB,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0EC,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
