<GROUP>,,
</GROUP>,,
<ERRCODE>,,
0065,MELSOFT製品でのインテリジェント機能ユニットスイッチで，CH1の出力レンジが設定できない値の設定になっています。,MELSOFT製品のパラメータ設定で正しいパラメータに設定し直してください。
01F4,オフセット・ゲイン設定中に複数チャンネルが同時に設定されています。,"オフセット・ゲイン設定モード(Un\G22,Un\G23) に正しい値を設定してください。"
0259,CH1に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
025A,CH2に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
025B,CH3に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
025C,CH4に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
025D,CH5に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
025E,CH6に設定したディジタル値が範囲外です。,範囲内の値を設定してください。
0263,CH1の警報出力上限値または，下限値が－32000～32000以外に設定されています。,CH1警報出力上限値／下限値(Un\G86～Un\G87)の内容を，－32000～32000の範囲に修正してください。
0264,CH2の警報出力上限値または，下限値が－32000～32000以外に設定されています。,CH2警報出力上限値／下限値(Un\G88～Un\G89)の内容を，－32000～32000の範囲に修正してください。
0265,CH3の警報出力上限値または，下限値が－32000～32000以外に設定されています。,CH3警報出力上限値／下限値(Un\G90～Un\G91)の内容を，－32000～32000の範囲に修正してください。
0266,CH4の警報出力上限値または，下限値が－32000～32000以外に設定されています。,CH4警報出力上限値／下限値(Un\G92～Un\G93)の内容を，－32000～32000の範囲に修正してください。
0267,CH5の警報出力上限値または，下限値が－32000～32000以外に設定されています。,CH5警報出力上限値／下限値(Un\G94～Un\G95)の内容を，－32000～32000の範囲に修正してください。
0268,CH6の警報出力上限値または，下限値が－32000～32000以外に設定されています。,CH6警報出力上限値／下限値(Un\G96～Un\G97)の内容を，－32000～32000の範囲に修正してください。
026D,CH1の警報出力上限値≦警報出力下限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
026E,CH2の警報出力上限値≦警報出力下限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
026F,CH3の警報出力上限値≦警報出力下限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
0270,CH4の警報出力上限値≦警報出力下限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
0271,CH5の警報出力上限値≦警報出力下限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
0272,CH6の警報出力上限値≦警報出力下限値となっています。,警報出力上限値＞警報出力下限値となるように設定してください。
02BC,オフセット・ゲイン設定モード中における，アナログ調整出力の設定値範囲外です。,オフセット・ゲイン調整値指定(Un\G24) の内容を，－3000～3000 の範囲に修正してください。
02C6,オフセット・ゲインレンジ設定がDH～FH以外に設定されています。,オフセット・ゲイン設定(Un\G25) の内容をDH～FHに修正してください。
0321,CH1の増加／減少ディジタルリミット値が0～64000以外に設定されています。,"CH1増加／減少ディジタルリミット値(Un\G70～Un\G71) の内容を，0～64000の範囲に修正してください。"
0322,CH2の増加／減少ディジタルリミット値が0～64000以外に設定されています。,"CH2増加／減少ディジタルリミット値(Un\G72～Un\G73) の内容を，0～64000の範囲に修正してください。"
0323,CH3の増加／減少ディジタルリミット値が0～64000以外に設定されています。,"CH3増加／減少ディジタルリミット値(Un\G74～Un\G75) の内容を，0～64000の範囲に修正してください。"
0324,CH4の増加／減少ディジタルリミット値が0～64000以外に設定されています。,"CH4増加／減少ディジタルリミット値(Un\G76～Un\G77) の内容を，0～64000の範囲に修正してください。"
0325,CH5の増加／減少ディジタルリミット値が0～64000以外に設定されています。,"CH5増加／減少ディジタルリミット値(Un\G78～Un\G79) の内容を，0～64000の範囲に修正してください。"
0326,CH6の増加／減少ディジタルリミット値が0～64000以外に設定されています。,"CH6増加／減少ディジタルリミット値(Un\G80～Un\G81) の内容を，0～64000の範囲に修正してください。"
0385,CH1のスケーリング上限値または，下限値が設定範囲外です。,CH1スケーリング上限値／下限値(Un\G54～Un\G55) の内容を，－32000～32000 の範囲に修正してください。
0386,CH2のスケーリング上限値または，下限値が設定範囲外です。,CH2スケーリング上限値／下限値(Un\G56～Un\G57) の内容を，－32000～32000 の範囲に修正してください。
0387,CH3のスケーリング上限値または，下限値が設定範囲外です。,CH3スケーリング上限値／下限値(Un\G58～Un\G59) の内容を，－32000～32000 の範囲に修正してください。
0388,CH4のスケーリング上限値または，下限値が設定範囲外です。,CH4スケーリング上限値／下限値(Un\G60～Un\G61) の内容を，－32000～32000 の範囲に修正してください。
0389,CH5のスケーリング上限値または，下限値が設定範囲外です。,CH5スケーリング上限値／下限値(Un\G62～Un\G63) の内容を，－32000～32000 の範囲に修正してください。
038A,CH6のスケーリング上限値または，下限値が設定範囲外です。,CH6スケーリング上限値／下限値(Un\G64～Un\G65) の内容を，－32000～32000 の範囲に修正してください。
038F,CH1のスケーリング上限値≦スケーリング下限値となっています。,CH1スケーリング上限値／下限値(Un\G54～Un\G55) の内容を，スケーリング上限値＞スケーリング下限値となるように設定してください。
0390,CH2のスケーリング上限値≦スケーリング下限値となっています。,CH2スケーリング上限値／下限値(Un\G56～Un\G57) の内容を，スケーリング上限値＞スケーリング下限値となるように設定してください。
0391,CH3のスケーリング上限値≦スケーリング下限値となっています。,CH3スケーリング上限値／下限値(Un\G58～Un\G59) の内容を，スケーリング上限値＞スケーリング下限値となるように設定してください。
0392,CH4のスケーリング上限値≦スケーリング下限値となっています。,CH4スケーリング上限値／下限値(Un\G60～Un\G61) の内容を，スケーリング上限値＞スケーリング下限値となるように設定してください。
0393,CH5のスケーリング上限値≦スケーリング下限値となっています。,CH5スケーリング上限値／下限値(Un\G62～Un\G63) の内容を，スケーリング上限値＞スケーリング下限値となるように設定してください。
0394,CH6のスケーリング上限値≦スケーリング下限値となっています。,CH6スケーリング上限値／下限値(Un\G64～Un\G65) の内容を，スケーリング上限値＞スケーリング下限値となるように設定してください。
</ERRCODE>,,
