<GROUP>,,,
03E8-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"スイッチ1エラー
・インテリジェント機能ユニットスイッチ1（CH1モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ1の設定を見直す。,
7302,"スイッチ2エラー
・インテリジェント機能ユニットスイッチ2（CH1通信速度設定・伝送設定）の内容が異常である。",インテリジェント機能ユニットスイッチ2の設定を見直す。,
7303,"スイッチ3エラー
・インテリジェント機能ユニットスイッチ3（CH2モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ3の設定を見直す。,
7304,"スイッチ4エラー
・インテリジェント機能ユニットスイッチ4（CH2通信速度設定・伝送設定）の内容が異常である。",インテリジェント機能ユニットスイッチ4の設定を見直す。,
7305,"スイッチ5エラー
・インテリジェント機能ユニットスイッチ5（CH1,2局番設定）の内容が異常である。",インテリジェント機能ユニットスイッチ5の設定を見直す。,
7337,"MELSECNET/Hリモートアクセス先指定エラー
・QJ71MB91が，MELSECNET/HリモートI/O局に装着されていないときに，MELSECNET/HリモートI/O局装着時アクセス先指定（アドレス：000EH）を設定した。",相手局，またはMELSECNET/HリモートI/O局装着時アクセス先指定値を見直す。
7338,"バッファメモリ設定エラー
・バッファメモリのシステムエリア（使用禁止）に書込みを行った。",シーケンスプログラムで，バッファメモリのシステムエリア（使用禁止）に書込みを行っていないか確認する。
7340,"対象MODBUS(R)デバイス種別指定エラー
・自動交信パラメータの対象MODBUS(R)デバイス種別指定の設定値が異常である。",対象MODBUS(R)デバイス種別指定の設定値を見直す。
7342,"次要求間隔タイマ値設定エラー
・自動交信パラメータの次要求間隔タイマの設定値が異常である。",次要求間隔タイマの設定値を見直す。
7343,"応答監視タイマ値設定エラー
・自動交信パラメータの応答監視タイマの設定値が，設定可能範囲を超えている。",応答監視タイマの設定値を，設定可能範囲内になるように見直す。
7345,"バッファメモリアドレス重複エラー
・自動交信パラメータのバッファメモリの設定範囲が，複数のパラメータ間で重複している。",重複しているバッファメモリの設定を見直す。
7346,"バッファメモリアドレス範囲エラー
・自動交信パラメータのバッファメモリの設定範囲が，自動交信機能バッファ入力／出力エリアの範囲を超えている。",範囲を超えているバッファメモリの設定を見直す。
7347,"自動交信設定有無範囲エラー
・自動交信パラメータ設定有無で，0または1以外を設定している。",自動交信パラメータ設定有無の設定を見直す。
7348,"MODBUS(R)デバイス番号設定範囲エラー
・自動交信パラメータ，および専用命令のコントロールデータで設定している読出し／書込み対象のMODBUS(R)デバイスの範囲が，最大値(65536)を超えている。",MODBUS(R)デバイスの設定範囲を見直す。
7349,"MODBUS(R)デバイス点数設定エラー
・自動交信パラメータ，および専用命令のコントロールデータで設定している読出し／書込み対象のMODBUS(R)デバイスの範囲が，設定可能範囲を超えている。",MODBUS(R)デバイスの設定範囲を見直す。
734A,"対象局番設定エラー
・自動交信パラメータ，および専用命令のコントロールデータで設定している対象局番の設定値が，異常である。",対象局番の設定値を見直す。
734C,"応答監視タイマ値設定エラー
・専用命令のコントロールデータにおいて，応答監視タイマの設定値が，設定可能範囲を超えている。",応答監視タイマの設定値を，設定可能範囲内になるように見直す。
734E,"書込みデータ格納サイズ設定エラー
・専用命令のコントロールデータにおいて，書込みデータ格納サイズの設定値が異常である。",書込みデータ格納サイズの設定値を見直す。
734F,"要求伝文サイズ設定エラー
・MBREQ命令の引数((S2)＋0)で指定する要求伝文サイズが異常である。",要求伝文サイズの設定値を見直す。
7350,"自動交信機能起動失敗
・電源起動時にGX Configurator-MBのパラメータを登録中のため，自動交信機能の起動に失敗した。","・GX Configurator-MBにより自動交信パラメータが起動されるのを待ち，自動交信を停止してから，自動交信機能を起動する。
・MODBUS(R)デバイス割付パラメータ登録有無(XA)がONするのを待ち，自動交信機能を起動する。
・時間をおいてリトライする。"
7353,"動作モードエラー
・マスタ動作中にスレーブ機能の操作を行った。またはスレーブ動作中にマスタ機能の操作を行った。",動作モードまたは，操作内容を見直す。
7355,"チャンネルNo.エラー
・チャンネルNo.の指定が間違っている。",チャンネルNo.の指定内容を見直す。
7360,"異常応答伝文受信
・自動交信機能，および専用命令使用時に，QJ71MB91が送信した要求伝文に対して，相手スレーブ機器が異常応答コードを返した。",相手スレーブ側から返信された異常応答コードを参照し，問題を解決する。
7361,"バイト数エラー
・自動交信機能，および専用命令において，受信した応答伝文中のバイト数が不足または過剰である。",相手スレーブ側で，返信する応答伝文の内容が正しいかどうかを確認する。
7362,"リファレンス番号エラー
・専用命令にて受信した応答伝文中のリファレンス番号の値が異常である。",相手スレーブ側で，返信する応答伝文の内容が正しいかどうかを確認する。
7365,"局番不一致エラー
・自動交信機能，および専用命令において，受信した応答伝文の局番が要求伝文と一致しない。",相手スレーブ側で，返信する応答伝文の内容が正しいかどうかを確認する。
7366,"ファンクションコード不一致エラー
・自動交信機能，および専用命令において，受信した応答伝文のファンクションコードが要求伝文と一致しない。",相手スレーブ側で，返信する応答伝文の内容が正しいかどうかを確認する。
7367,"応答伝文内容不一致エラー
・自動交信機能，および専用命令において，受信した応答伝文の内容が要求伝文と一致しない。(FC:15，FC:16，FC:21)",相手スレーブ側で，返信する応答伝文の内容が正しいかどうかを確認する。
7370,"自動交信機能停止要求エラー
・自動交信機能が停止している状態で，自動交信機能停止要求(Y6，YE)を行った。",自動交信機能が停止している状態では，自動交信機能停止要求(Y6，YE)を行わないようにする。
7371,"自動交信パラメータ登録要求エラー
・自動交信機能が起動している状態で，自動交信パラメータ登録要求(Y4，YC)を行った。",自動交信機能を停止させてから，自動交信パラメータ登録要求(Y4，YC)を行う。
7372,"スイッチ変更エラー
UINI命令のコントロールデータにおいて，設定値が範囲外，または異常である。",UINI命令のコントロールデータを見直す。
7373,"スイッチ設定変更中自動交信パラメータ登録エラー
UINI命令実行中に，自動交信パラメータの登録を行った。
または，自動交信パラメータの登録中に，UINI命令を実行した。",UINI命令と自動交信パラメータの登録を同時に実行しないようにする。
7374,"スイッチ設定変更中MODBUS(R)デバイス割付パラメータ登録エラー
UINI命令実行中に，MODBUS(R)デバイス割付パラメータの登録を行った。
または，MODBUS(R)デバイス割付パラメータの登録中に，UINI命令を実行した。",UINI命令とMODBUS(R)デバイス割付パラメータの登録を同時に実行しないようにする。
7378,"応答監視タイマタイムアウトエラー
・自動交信機能で，応答監視タイマがタイムアウトした。
・ブロードキャストの場合は，ブロードキャストディレイが，要求伝文の送信を完了する前に終了した。
・前にブロードキャストを行っている場合は，スレーブがブロードキャストで要求された処理を実行中のため，応答できない。","・相手機器が正常に動作しているかを確認する。
・相手機器でエラーが発生している場合は，エラーを取り除く。
・相手機器との回線接続（ケーブル，配線など）を確認する。
・相手機器の処理時間を確認する。（設定値が短すぎないか。相手機器が応答するより前にタイムアウトエラーになっていないか。要求伝文の送信が終わらないうちにタイムアウトエラーになっていないか。）
・設定値を大きくする。
・自動交信機能とMBRW命令，MBREQ命令を同じチャンネルで使用している場合は，MBRW命令，MBREQ命令が実行可能なタイミングを確保できるように，自動交信パラメータおよびシーケンスプログラムを作成する。
・前にブロードキャストディレイを行っている場合は，そのブロードキャストディレイが十分な値であるか確認する。
・MBREQ命令で，応答伝文がない要求伝文をスレーブへ送信時に本エラーが発生した場合は，正常完了とみなしてよい。"
7379,"応答監視タイマタイムアウトエラー
・専用命令で，応答監視タイマがタイムアウトした。
・ブロードキャストの場合は，ブロードキャストディレイが，要求伝文の送信を完了する前に終了した。
・前にブロードキャストを行っている場合は，スレーブがブロードキャストで要求された処理を実行中のため，応答できない。
・MBREQ命令で，応答伝文がない要求伝文をスレーブに送信した。（ブロードキャストを除く。）","・相手機器が正常に動作しているかを確認する。
・相手機器でエラーが発生している場合は，エラーを取り除く。
・相手機器との回線接続（ケーブル，配線など）を確認する。
・相手機器の処理時間を確認する。（設定値が短すぎないか。相手機器が応答するより前にタイムアウトエラーになっていないか。要求伝文の送信が終わらないうちにタイムアウトエラーになっていないか。）
・設定値を大きくする。
・自動交信機能とMBRW命令，MBREQ命令を同じチャンネルで使用している場合は，MBRW命令，MBREQ命令が実行可能なタイミングを確保できるように，自動交信パラメータおよびシーケンスプログラムを作成する。
・前にブロードキャストディレイを行っている場合は，そのブロードキャストディレイが十分な値であるか確認する。
・MBREQ命令で，応答伝文がない要求伝文をスレーブへ送信時に本エラーが発生した場合は，正常完了とみなしてよい。"
737B,"次要求間隔タイマタイムアウトエラー
・要求が完了しないうちに次の要求を発行する時間になった。","・相手機器が正常に動作しているかを確認する。
・相手機器でエラーが発生している場合は，エラーを取り除く。
・相手機器との回線接続（ケーブル，配線など）を確認する。
・相手機器の処理時間を確認する。（設定値が短すぎないか。相手機器が応答するより前にタイムアウトエラーになっていないか。要求伝文の送信が終わらないうちにタイムアウトエラーになっていないか。）
・設定値を大きくする。
・自動交信機能とMBRW命令，MBREQ命令を同じチャンネルで使用している場合は，MBRW命令，MBREQ命令が実行可能なタイミングを確保できるように，自動交信パラメータおよびシーケンスプログラムを作成する。
・前にブロードキャストディレイを行っている場合は，そのブロードキャストディレイが十分な値であるか確認する。
・MBREQ命令で，応答伝文がない要求伝文をスレーブへ送信時に本エラーが発生した場合は，正常完了とみなしてよい。"
737C,"同時実行エラー
・同一チャンネルにて2種類の専用命令を同時に実行した。",現在実行中の命令が完了後，次の命令を実行する。
7380,"CPU応答監視タイマタイムアウト
・スレーブ機能においてCPU応答監視タイマがタイムアウトした。","・シーケンサCPUにエラーが発生している場合は，エラーを取り除く。
・CPU応答監視タイマの設定値を大きくする。"
7381,"ファンクションコードエラー
・QJ71MB91のスレーブ機能がサポートしていないファンクションコードの要求伝文を受信した。",QJ71MB91のスレーブ機能がサポートするファンクションコードを確認し，送信する要求伝文を見直す。
7382,"サブコードエラー
・QJ71MB91がサポートしていないサブコードの要求伝文を受信した。",QJ71MB91のスレーブ機能がサポートするサブコードを確認し，送信する要求伝文を見直す。
7383,"MODBUS(R)デバイス指定エラー
・受信した要求伝文で指定されたMODBUS(R)デバイスに対して，MODBUS(R)デバイス割付パラメータを設定していない。MODBUS(R)デバイス割付パラメータを登録中である。","・要求伝文で指定されたMODBUS(R)デバイスに対して，MODBUS(R)デバイス割付パラメータを設定する。
・MODBUS(R)デバイス割付パラメータ登録有無（XA）がONしてから通信を開始するように，マスタ側で要求伝文を送信するタイミングを調整する。"
7384,"MODBUS(R)デバイス指定エラー
・受信した要求伝文で指定されたMODBUS(R)デバイスの範囲が，MODBUS(R)デバイス割付パラメータの設定範囲を超えた。",要求伝文で指定されたMODBUS(R)デバイスの範囲を満たすようにMODBUS(R)デバイス割付パラメータを設定する。
7385,"MODBUS(R)デバイス指定エラー
・受信した要求伝文で指定されたMODBUS(R)デバイスの範囲が，MODBUS(R)デバイスの最大値を超えている。
＊ 拡張ファイルレジスタの最大値は10000，他のMODBUS(R)デバイスは65536。",要求伝文を送信したマスタ側で，MODBUS(R)デバイスの指定内容を見直す。
7386,"MODBUS(R)デバイス指定エラー
・受信した要求伝文で指定されたMODBUS(R)デバイスのアクセス点数が，該当ファンクションの最大アクセス点数を超えている。",要求伝文を送信したマスタ側でMODBUS(R)デバイスの指定内容を見直す。
7388,"異常ステータス用デバイス設定なしエラー
・異常ステータス読出し(FC:07)の際に，異常ステータス用デバイスが設定されていなかった。",異常ステータス用デバイスを設定する。
7390,"バイト数指定エラー
・受信した要求伝文の書込み点数とバイト数の指定が一致していない。",要求伝文を送信したマスタ側で，書込み点数およびバイト数の指定内容を見直す。
7391,"受信データサイズエラー
・受信した要求伝文の書込みデバイスデータのサイズと，バイト数の指定が一致していない。",要求伝文を送信したマスタ側で，書込みデバイスデータのサイズ，およびバイト数の指定内容を見直す。
7392,"リファレンスタイプエラー
・受信した要求伝文(FC:20，FC:21)で指定されたリファレンス番号の値が異常である。",要求伝文を送信したマスタ側で，リファレンス番号の指定内容を見直す。
7393,"データ部異常
・受信した要求伝文のデータ部の内容が異常である。
・受信した要求伝文のサイズが，該当ファンクションコードに必要な最低サイズより小さい，または最大サイズより大きい。",要求伝文を送信したマスタ側で，要求伝文の内容を見直す。
7394,"RUN中書込みエラー
・RUN中書込み禁止の状態で，書込みの要求伝文を受信した。","・RUN中書込み禁止中は，書込みの要求伝文を発行しないようにする。
・インテリジェント機能ユニットスイッチのRUN中書込みをONし，RUN中書込み許可の設定に変更する。"
7397,"無受信監視時間タイムアウト
・伝文受信中に1.5キャラクタ時間／1秒以上の無受信時間を検出し，伝文を破棄した。","・該当伝文の送信機器の設定を見直す。
・該当機器のチェックを行う。
・異常な機器を解列させる。"
7398,"ショートフレームエラー
・受信伝文サイズ（ASCIIモード時の先頭キャラクタは除く）が4バイト／8バイト未満であった。","該当伝文送信局の発行した伝文内容を見直す。
・該当機器のチェックを行う。
・異常な機器を解列させる。"
7399,"キャラクタオーバーランエラー
・受信伝文サイズ（ASCIIモード時の先頭キャラクタは除く）が256バイト／512バイトを超過していた。","該当伝文送信局の発行した伝文内容を見直す。
・該当機器のチェックを行う。
・異常な機器を解列させる。"
739A,"ASCII－バイナリ変換エラー
・バイナリに変換できないASCIIコードを受信した。","該当伝文送信局の発行した伝文内容を見直す。
・該当機器のチェックを行う。
・異常な機器を解列させる。"
739B,"終了コードエラー
・終了コードのCRの後に不正な文字を受信した。","該当伝文送信局の発行した伝文内容を見直す。
・該当機器のチェックを行う。
・異常な機器を解列させる。"
739C,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているか確認する。
・システムの使用環境が， シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
739D,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているか確認する。
・システムの使用環境が， シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
739E,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているか確認する。
・システムの使用環境が， シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
73C0,"RAM異常
・RAMテストで異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・再度テストを行う。
・以上で問題が解決できない場合は，ハードウェア異常のおそれがある。シーケンサCPU，ベースユニットが正常か各ユニットのマニュアルを参照してチェックする。または，ユニットを取り換えて動作を確認する。
故障の場合は，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
73C1,"ROM異常
・ROMテストで異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・再度テストを行う。
・以上で問題が解決できない場合は，ハードウェア異常のおそれがある。シーケンサCPU，ベースユニットが正常か各ユニットのマニュアルを参照してチェックする。または，ユニットを取り換えて動作を確認する。
故障の場合は，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
73C2,"自己折返しテストエラー
・自己折返しテストで異常を検出した。","以下の手順で対処する。
・折返しコネクタが装着されているか，配線は正しいか確認する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・再度テストを行う。
・以上で問題が解決できない場合は，ハードウェア異常のおそれがある。シーケンサCPU，ベースユニットが正常か各ユニットのマニュアルを参照してチェックする。または，ユニットを取り換えて動作を確認する。
故障の場合は，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7400,"フレーミングエラー
・ストップビットの位置が異常である。
・ストップビットの設定が異常である。
・伝送設定が合っていない。
・機器の電源ON/OFF により，回線に乱れが生じた。
・回線上にノイズが発生した。
・マスタが2台以上ある。
・データの送出が同時に発生した。","・QJ71MB91と相手機器のストップビット設定を合わせる。
・QJ71MB91と相手機器の伝送設定を合わせる。
・ノイズ対策をする。
・マスタを1台にする。
・データの送出が同時に起こらないように，タイミングなどを調整する。"
7401,"パリティエラー
・パリティビットのチェックがエラーとなった。
・パリティビットの設定が異常である。
・伝送設定が合っていない。
・機器の電源ON/OFF により，回線に乱れが生じた。
・回線上にノイズが発生した。
・マスタが2台以上ある。
・データの送出が同時に発生した。","・QJ71MB91と相手機器のパリティビット設定を合わせる。
・QJ71MB91と相手機器の伝送設定を合わせる。
・ノイズ対策をする。
・マスタを1台にする。
・データの送出が同時に起こらないように，タイミングなどを調整する。"
7402,"オーバーランエラー
・受信処理を完了する前に次のデータを受信した。
・伝送速度がQJ71MB91の制限を越えている。
・瞬停が発生した。","・伝送速度がQJ71MB91の制限内か確認する。
・装着局で瞬停が発生していないか確認する。（シーケンサCPUの特殊レジスタSD1005で確認可能）瞬停が発生しているときは，その要因をなくす。
・伝送速度を下げる。"
7403,"CS信号OFF
・要求伝文または応答伝文の送信時に，CS信号がOFFになっており，送信できなかった。
・ケーブルが抜けている。
・ケーブル異常。","・ケーブルが抜けていないか確認する。
・CH1(RS-232)側のCS信号が常時ONとなるように，ケーブル接続，配線を見直す。"
7404,"バッファフルエラー
・OSバッファ（ユニット内部にて持つバッファ）が満杯。","・シーケンサCPUに問題がある場合は、その問題を取り除く。
・伝送速度がQJ71MB91の制限内か確認する。
・装着局で瞬停が発生していないか確認する。（シーケンサCPUの特殊レジスタSD1005で確認可能）瞬停が発生しているときは，その要因をなくす。
・伝送速度を下げる。
・相手機器側からの要求の頻度を下げる。"
7411,"CRC／LRCエラー
・QJ71MB91で計算したCRC／LRCと，受信した伝文内のCRC／LRCが一致しない。","・伝文送出中の機器に対して電源OFF，回線取り外しを行わない。（これが原因の場合は，とくに問題がなければ処置を行わなくても良い。）
・該当伝文送信局が発行した伝文内容を見直す。
・該当機器のチェックを行う。
・異常な機器を解列させる。
・回線状態を見直す。
・ノイズ対策を行う。"
7412,"送信監視タイマタイムアウト
・送信監視タイマタイムアウトが発生した。","・ケーブルが抜けていないか確認する。
・CH1(RS-232)側のCS信号が常時ONになるように，ケーブル接続，配線を見直す。"
7500,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7501,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7502,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7503,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7504,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7505,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
