<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
0450,"Software stroke limit -
* Positioning control was carried out in a position in excess of 'Software stroke limit lower limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit lower limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
0838,"Software stroke limit -
* Positioning control was carried out in a position in excess of 'Software stroke limit lower limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit lower limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
0C20,"Software stroke limit -
* Positioning control was carried out in a position in excess of 'Software stroke limit lower limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit lower limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
1008,"Software stroke limit -
* Positioning control was carried out in a position in excess of 'Software stroke limit lower limit value'.
* 'Current feed value' or 'Positioning address/movement amount' (New current value) has exceeded 'Software stroke limit lower limit value'.","At start:
Perform JOG operation to change 'Current feed value' to within the software stroke limit range.
Current value changing:
Change the new current value to within the software stroke limit range.
During operation:
Correct 'Positioning address/movement amount'."
0451,"PLC READY OFF during operation
The PLC READY signal (Y0) turned OFF during operation.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
0839,"PLC READY OFF during operation
The PLC READY signal (Y0) turned OFF during operation.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
0C21,"PLC READY OFF during operation
The PLC READY signal (Y0) turned OFF during operation.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
1009,"PLC READY OFF during operation
The PLC READY signal (Y0) turned OFF during operation.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
0456,"PLC READY OFF during writing
The PLC READY signal (Y0) turned OFF immediately after turning ON.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
083E,"PLC READY OFF during writing
The PLC READY signal (Y0) turned OFF immediately after turning ON.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
0C26,"PLC READY OFF during writing
The PLC READY signal (Y0) turned OFF immediately after turning ON.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
100E,"PLC READY OFF during writing
The PLC READY signal (Y0) turned OFF immediately after turning ON.","Review the sequence program that turns ON/OFF the PLC READY signal (Y0)."
04B1,"Start during near-point dog ON
With 'OPR method' being any of near-point dog method, count 1 and count 2, machine OPR control was started when the near-point dog was ON.","Perform JOG operation to move the axis to the position where the near-point dog turns OFF, and then start machine OPR control."
0899,"Start during near-point dog ON
With 'OPR method' being any of near-point dog method, count 1 and count 2, machine OPR control was started when the near-point dog was ON.","Perform JOG operation to move the axis to the position where the near-point dog turns OFF, and then start machine OPR control."
0C81,"Start during near-point dog ON
With 'OPR method' being any of near-point dog method, count 1 and count 2, machine OPR control was started when the near-point dog was ON.","Perform JOG operation to move the axis to the position where the near-point dog turns OFF, and then start machine OPR control."
1069,"Start during near-point dog ON
With 'OPR method' being any of near-point dog method, count 1 and count 2, machine OPR control was started when the near-point dog was ON.","Perform JOG operation to move the axis to the position where the near-point dog turns OFF, and then start machine OPR control."
04B2,"Zero signal ON
With 'OPR method' being either of stopper 2 and stopper 3, the zero signal is input when machine OPR control is started.","After turning OFF the zero signal, start machine OPR control."
089A,"Zero signal ON
With 'OPR method' being either of stopper 2 and stopper 3, the zero signal is input when machine OPR control is started.","After turning OFF the zero signal, start machine OPR control."
0C82,"Zero signal ON
With 'OPR method' being either of stopper 2 and stopper 3, the zero signal is input when machine OPR control is started.","After turning OFF the zero signal, start machine OPR control."
106A,"Zero signal ON
With 'OPR method' being either of stopper 2 and stopper 3, the zero signal is input when machine OPR control is started.","After turning OFF the zero signal, start machine OPR control."
04B3,"Machine OPR not execute
Fast OPR control was started though machine OPR control was not yet carried out.","Before starting fast OPR control, perform machine OPR control."
089B,"Machine OPR not execute
Fast OPR control was started though machine OPR control was not yet carried out.","Before starting fast OPR control, perform machine OPR control."
0C83,"Machine OPR not execute
Fast OPR control was started though machine OPR control was not yet carried out.","Before starting fast OPR control, perform machine OPR control."
106B,"Machine OPR not execute
Fast OPR control was started though machine OPR control was not yet carried out.","Before starting fast OPR control, perform machine OPR control."
05DD,"Setting range outside start method
The setting value of 'Start method' is other than 0, 9000 and 9001.","Set 'Start method' to within the setting range."
09C5,"Setting range outside start method
The setting value of 'Start method' is other than 0, 9000 and 9001.","Set 'Start method' to within the setting range."
0DAD,"Setting range outside start method
The setting value of 'Start method' is other than 0, 9000 and 9001.","Set 'Start method' to within the setting range."
1195,"Setting range outside start method
The setting value of 'Start method' is other than 0, 9000 and 9001.","Set 'Start method' to within the setting range."
05DE,"New current change not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Current value changing'.
* 'Control method' is 'Current value changing' in the positioning data following the positioning data whose 'Operation pattern' is 'Continuous path control'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
09C6,"New current change not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Current value changing'.
* 'Control method' is 'Current value changing' in the positioning data following the positioning data whose 'Operation pattern' is 'Continuous path control'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
0DAE,"New current change not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Current value changing'.
* 'Control method' is 'Current value changing' in the positioning data following the positioning data whose 'Operation pattern' is 'Continuous path control'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
1196,"New current change not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Current value changing'.
* 'Control method' is 'Current value changing' in the positioning data following the positioning data whose 'Operation pattern' is 'Continuous path control'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
05DF,"Continuous path control not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.
* 'Operation pattern' is 'Continuous path control' in the positioning data preceding the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
09C7,"Continuous path control not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.
* 'Operation pattern' is 'Continuous path control' in the positioning data preceding the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
0DAF,"Continuous path control not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.
* 'Operation pattern' is 'Continuous path control' in the positioning data preceding the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
1197,"Continuous path control not possible
* 'Operation pattern' is 'Continuous path control' in the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.
* 'Operation pattern' is 'Continuous path control' in the positioning data preceding the positioning data whose 'Control method' is 'Speed.Position Ctrl.'.","* When 'Control method' is 'Current value changing' or 'Speed.Position Ctrl.', do not set 'Continuous path control' in 'Operation pattern'.
* Do not set 'Current value changing' or 'Speed.Position Ctrl.' in 'Control method' of the positioning data following the positioning data where 'Continuous path control' has been set in 'Operation pattern'."
05E0,"Setting range outside operation pattern
The setting value of 'Operation pattern' is outside the setting range.","Set 'Operation pattern' to within the setting range."
09C8,"Setting range outside operation pattern
The setting value of 'Operation pattern' is outside the setting range.","Set 'Operation pattern' to within the setting range."
0DB0,"Setting range outside operation pattern
The setting value of 'Operation pattern' is outside the setting range.","Set 'Operation pattern' to within the setting range."
1198,"Setting range outside operation pattern
The setting value of 'Operation pattern' is outside the setting range.","Set 'Operation pattern' to within the setting range."
05E1,"Speed 0 error
At a position control start, 'Command speed' of the positioning data is '0'.","Set 'Command speed' to other than '0'."
09C9,"Speed 0 error
At a position control start, 'Command speed' of the positioning data is '0'.","Set 'Command speed' to other than '0'."
0DB1,"Speed 0 error
At a position control start, 'Command speed' of the positioning data is '0'.","Set 'Command speed' to other than '0'."
1199,"Speed 0 error
At a position control start, 'Command speed' of the positioning data is '0'.","Set 'Command speed' to other than '0'."
05E2,"Setting range outside control method
The setting value of 'Control method' is outside the setting range.","Set 'Control method' to within the setting range."
09CA,"Setting range outside control method
The setting value of 'Control method' is outside the setting range.","Set 'Control method' to within the setting range."
0DB2,"Setting range outside control method
The setting value of 'Control method' is outside the setting range.","Set 'Control method' to within the setting range."
119A,"Setting range outside control method
The setting value of 'Control method' is outside the setting range.","Set 'Control method' to within the setting range."
05E3,"Setting range outside ACC/DEC time
Any of the 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' setting values is outside the setting range.","Set 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' to within the setting range."
09CB,"Setting range outside ACC/DEC time
Any of the 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' setting values is outside the setting range.","Set 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' to within the setting range."
0DB3,"Setting range outside ACC/DEC time
Any of the 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' setting values is outside the setting range.","Set 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' to within the setting range."
119B,"Setting range outside ACC/DEC time
Any of the 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' setting values is outside the setting range.","Set 'ACC/DEC time at OPR', 'JOG ACC time', 'ACC/DEC time' and 'ACC/DEC time at speed change' to within the setting range."
05E4,"Setting range outside DEC/STOP time
Any of the 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' setting values is outside the setting range.","Set 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' to within the setting range."
09CC,"Setting range outside DEC/STOP time
Any of the 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' setting values is outside the setting range.","Set 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' to within the setting range."
0DB4,"Setting range outside DEC/STOP time
Any of the 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' setting values is outside the setting range.","Set 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' to within the setting range."
119C,"Setting range outside DEC/STOP time
Any of the 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' setting values is outside the setting range.","Set 'DEC/STOP time at OPR', 'JOG DEC time', 'DEC/STOP time' and 'DEC/STOP time at speed change' to within the setting range."
05E6,"Illegal direction for continuous path control
When 'Operation pattern' is 'Continuous path control' for position control, 'Positioning address/movement amount' has been set to reverse the operation direction.","Correct 'Positioning address/movement amount'."
09CE,"Illegal direction for continuous path control
When 'Operation pattern' is 'Continuous path control' for position control, 'Positioning address/movement amount' has been set to reverse the operation direction.","Correct 'Positioning address/movement amount'."
0DB6,"Illegal direction for continuous path control
When 'Operation pattern' is 'Continuous path control' for position control, 'Positioning address/movement amount' has been set to reverse the operation direction.","Correct 'Positioning address/movement amount'."
119E,"Illegal direction for continuous path control
When 'Operation pattern' is 'Continuous path control' for position control, 'Positioning address/movement amount' has been set to reverse the operation direction.","Correct 'Positioning address/movement amount'."
05E7,"Insufficient movement amount for continuous path control
When 'Operation pattern' is 'Continuous path control', 'Positioning address/movement amount' is too small to form a constant-speed part.","Correct 'Positioning address/movement amount'."
09CF,"Insufficient movement amount for continuous path control
When 'Operation pattern' is 'Continuous path control', 'Positioning address/movement amount' is too small to form a constant-speed part.","Correct 'Positioning address/movement amount'."
0DB7,"Insufficient movement amount for continuous path control
When 'Operation pattern' is 'Continuous path control', 'Positioning address/movement amount' is too small to form a constant-speed part.","Correct 'Positioning address/movement amount'."
119F,"Insufficient movement amount for continuous path control
When 'Operation pattern' is 'Continuous path control', 'Positioning address/movement amount' is too small to form a constant-speed part.","Correct 'Positioning address/movement amount'."
05E8,"Not complete calculation for continuous path control
When 'Operation pattern' was 'Continuous path control' for position control, positioning control ended soon since 'Positioning address/movement amount' in current execution was small, and the calculation processing of the next positioning data was not in time.","Correct 'Positioning address/movement amount'."
09D0,"Not complete calculation for continuous path control
When 'Operation pattern' was 'Continuous path control' for position control, positioning control ended soon since 'Positioning address/movement amount' in current execution was small, and the calculation processing of the next positioning data was not in time.","Correct 'Positioning address/movement amount'."
0DB8,"Not complete calculation for continuous path control
When 'Operation pattern' was 'Continuous path control' for position control, positioning control ended soon since 'Positioning address/movement amount' in current execution was small, and the calculation processing of the next positioning data was not in time.","Correct 'Positioning address/movement amount'."
11A0,"Not complete calculation for continuous path control
When 'Operation pattern' was 'Continuous path control' for position control, positioning control ended soon since 'Positioning address/movement amount' in current execution was small, and the calculation processing of the next positioning data was not in time.","Correct 'Positioning address/movement amount'."
05E9,"Setting range outside movement amount at speed-position switching control
In 'Control method' of 'Speed-position switching control', a negative value is set in 'Positioning address/movement amount'.","Correct 'Positioning address/movement amount'."
09D1,"Setting range outside movement amount at speed-position switching control
In 'Control method' of 'Speed-position switching control', a negative value is set in 'Positioning address/movement amount'.","Correct 'Positioning address/movement amount'."
0DB9,"Setting range outside movement amount at speed-position switching control
In 'Control method' of 'Speed-position switching control', a negative value is set in 'Positioning address/movement amount'.","Correct 'Positioning address/movement amount'."
11A1,"Setting range outside movement amount at speed-position switching control
In 'Control method' of 'Speed-position switching control', a negative value is set in 'Positioning address/movement amount'.","Correct 'Positioning address/movement amount'."
05EA,"Movement amount shortage at 0 bias speed
The movement amount is short when operation is performed with 0 set to 'Bias speed at start' in the 'control method' setting of '1-axis linear control (ABS)' or '1-axis linear control (INC)'.","* Set 1 pulse/s or more to 'bias speed at start'.
* If the movement amount is 32 pulse or less, set the value equal to or less than the initial value (1000ms) to 'ACC/DEC time' and 'DEC/STOP time'."
09D2,"Movement amount shortage at 0 bias speed
The movement amount is short when operation is performed with 0 set to 'Bias speed at start' in the 'control method' setting of '1-axis linear control (ABS)' or '1-axis linear control (INC)'.","* Set 1 pulse/s or more to 'bias speed at start'.
* If the movement amount is 32 pulse or less, set the value equal to or less than the initial value (1000ms) to 'ACC/DEC time' and 'DEC/STOP time'."
0DBA,"Movement amount shortage at 0 bias speed
The movement amount is short when operation is performed with 0 set to 'Bias speed at start' in the 'control method' setting of '1-axis linear control (ABS)' or '1-axis linear control (INC)'.","* Set 1 pulse/s or more to 'bias speed at start'.
* If the movement amount is 32 pulse or less, set the value equal to or less than the initial value (1000ms) to 'ACC/DEC time' and 'DEC/STOP time'."
11A2,"Movement amount shortage at 0 bias speed
The movement amount is short when operation is performed with 0 set to 'Bias speed at start' in the 'control method' setting of '1-axis linear control (ABS)' or '1-axis linear control (INC)'.","* Set 1 pulse/s or more to 'bias speed at start'.
* If the movement amount is 32 pulse or less, set the value equal to or less than the initial value (1000ms) to 'ACC/DEC time' and 'DEC/STOP time'."
0708,"Hold error
The setting made for the QD70 is 'Hold' in the 'Error time output mode' parameter of the CPU module.","Change the setting of the 'Error time output mode' parameter of the PLC CPU to 'Clear'."
0AF0,"Hold error
The setting made for the QD70 is 'Hold' in the 'Error time output mode' parameter of the CPU module.","Change the setting of the 'Error time output mode' parameter of the PLC CPU to 'Clear'."
0ED8,"Hold error
The setting made for the QD70 is 'Hold' in the 'Error time output mode' parameter of the CPU module.","Change the setting of the 'Error time output mode' parameter of the PLC CPU to 'Clear'."
12C0,"Hold error
The setting made for the QD70 is 'Hold' in the 'Error time output mode' parameter of the CPU module.","Change the setting of the 'Error time output mode' parameter of the PLC CPU to 'Clear'."
0712,"Switch setting error
The intelligent function module switch setting made on MELSOFT application is in error.","Set the intelligent function module switches to within the setting ranges."
0AFA,"Switch setting error
The intelligent function module switch setting made on MELSOFT application is in error.","Set the intelligent function module switches to within the setting ranges."
0EE2,"Switch setting error
The intelligent function module switch setting made on MELSOFT application is in error.","Set the intelligent function module switches to within the setting ranges."
12CA,"Switch setting error
The intelligent function module switch setting made on MELSOFT application is in error.","Set the intelligent function module switches to within the setting ranges."
071C,"PLC CPU error
The PLC CPU resulted in an error.","Switch power from OFF to ON or reset the PLC CPU."
0B04,"PLC CPU error
The PLC CPU resulted in an error.","Switch power from OFF to ON or reset the PLC CPU."
0EEC,"PLC CPU error
The PLC CPU resulted in an error.","Switch power from OFF to ON or reset the PLC CPU."
12D4,"PLC CPU error
The PLC CPU resulted in an error.","Switch power from OFF to ON or reset the PLC CPU."
0726,"PLC CPU watch dog timer error
The watchdog timer error of the PLC CPU occurred.","Switch power from OFF to ON or reset the PLC CPU."
0B0E,"PLC CPU watch dog timer error
The watchdog timer error of the PLC CPU occurred.","Switch power from OFF to ON or reset the PLC CPU."
0EF6,"PLC CPU watch dog timer error
The watchdog timer error of the PLC CPU occurred.","Switch power from OFF to ON or reset the PLC CPU."
12DE,"PLC CPU watch dog timer error
The watchdog timer error of the PLC CPU occurred.","Switch power from OFF to ON or reset the PLC CPU."
0730,"Module error
A module power-off error occurred.","Switch power from OFF to ON or reset the PLC CPU."
0B18,"Module error
A module power-off error occurred.","Switch power from OFF to ON or reset the PLC CPU."
0F00,"Module error
A module power-off error occurred.","Switch power from OFF to ON or reset the PLC CPU."
12E8,"Module error
A module power-off error occurred.","Switch power from OFF to ON or reset the PLC CPU."
076D,"Software stroke limit upper/lower limit value error
Upper limit value is equal to or smaller than lower limit value in the software stroke limit upper/lower limit values.","Make setting to satisfy (upper limit value) > (lower limit value)."
0B55,"Software stroke limit upper/lower limit value error
Upper limit value is equal to or smaller than lower limit value in the software stroke limit upper/lower limit values.","Make setting to satisfy (upper limit value) > (lower limit value)."
0F3D,"Software stroke limit upper/lower limit value error
Upper limit value is equal to or smaller than lower limit value in the software stroke limit upper/lower limit values.","Make setting to satisfy (upper limit value) > (lower limit value)."
1325,"Software stroke limit upper/lower limit value error
Upper limit value is equal to or smaller than lower limit value in the software stroke limit upper/lower limit values.","Make setting to satisfy (upper limit value) > (lower limit value)."
076E,"Setting range outside PULSE/SIGN method selection setup/hold time
The setting value of 'PULSE/SIGN method selection setup/hold time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B56,"Setting range outside PULSE/SIGN method selection setup/hold time
The setting value of 'PULSE/SIGN method selection setup/hold time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F3E,"Setting range outside PULSE/SIGN method selection setup/hold time
The setting value of 'PULSE/SIGN method selection setup/hold time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1326,"Setting range outside PULSE/SIGN method selection setup/hold time
The setting value of 'PULSE/SIGN method selection setup/hold time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
076F,"Setting range outside software stroke limit
The setting value of 'Software stroke limit valid/invalid setting' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B57,"Setting range outside software stroke limit
The setting value of 'Software stroke limit valid/invalid setting' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F3F,"Setting range outside software stroke limit
The setting value of 'Software stroke limit valid/invalid setting' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1327,"Setting range outside software stroke limit
The setting value of 'Software stroke limit valid/invalid setting' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0770,"Setting range outside current feed value during speed control
The setting value of 'Current feed value during speed control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B58,"Setting range outside current feed value during speed control
The setting value of 'Current feed value during speed control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F40,"Setting range outside current feed value during speed control
The setting value of 'Current feed value during speed control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1328,"Setting range outside current feed value during speed control
The setting value of 'Current feed value during speed control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0771,"Setting range outside speed limit value
The setting value of 'Speed limit value' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B59,"Setting range outside speed limit value
The setting value of 'Speed limit value' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F41,"Setting range outside speed limit value
The setting value of 'Speed limit value' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1329,"Setting range outside speed limit value
The setting value of 'Speed limit value' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0772,"Setting range outside bias speed
* The setting value of 'Bias speed at start' is outside the setting range.
* The setting value of 'Bias speed at start' is higher than 'Speed limit value'.","Change the setting to within the setting range and to not more than 'Speed limit value', and turn the PLC READY signal (Y0) from OFF to ON."
0B5A,"Setting range outside bias speed
* The setting value of 'Bias speed at start' is outside the setting range.
* The setting value of 'Bias speed at start' is higher than 'Speed limit value'.","Change the setting to within the setting range and to not more than 'Speed limit value', and turn the PLC READY signal (Y0) from OFF to ON."
0F42,"Setting range outside bias speed
* The setting value of 'Bias speed at start' is outside the setting range.
* The setting value of 'Bias speed at start' is higher than 'Speed limit value'.","Change the setting to within the setting range and to not more than 'Speed limit value', and turn the PLC READY signal (Y0) from OFF to ON."
132A,"Setting range outside bias speed
* The setting value of 'Bias speed at start' is outside the setting range.
* The setting value of 'Bias speed at start' is higher than 'Speed limit value'.","Change the setting to within the setting range and to not more than 'Speed limit value', and turn the PLC READY signal (Y0) from OFF to ON."
0773,"Setting range outside deviation counter clear signal output time
The setting value of 'Deviation counter clear signal output time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B5B,"Setting range outside deviation counter clear signal output time
The setting value of 'Deviation counter clear signal output time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F43,"Setting range outside deviation counter clear signal output time
The setting value of 'Deviation counter clear signal output time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
