<GROUP>,,,
3E8-3FFF,CPU ユニットのエラー,CPU ユニットのユーザーズマニュアルを参照ください。,********.csv
4000-4FFF,CPU ユニットのエラー,CPU ユニットのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,,,ERR_QJ71E71.csv
E000-EFFF,,,ERR_QJ71GP21.csv
F000-FFFF,,,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
55,GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可しないときに，相手機器によりシーケンサCPUがRUN中にデータの書込みを要求した。,"・GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可する設定にして，データ書込みを行う。
・CPU ユニットをSTOPにしてデータを書き込む。",
0A8C,リモートパスワード不一致回数が上限に達した。,"不正アクセスか確認する。不正アクセスの場合，該当コネクションの通信禁止などの処置を行う。
不正アクセスで無い場合，エラーをクリアし下記項目を実施する。(エラーのクリアでリモートパスワード累積回数もクリアされる。)
・送信したリモートパスワードが正しいか確認する。
・リモートパスワードのロック処理が行われているか確認する。
・複数機器からUDPで1つのコネクションに同時アクセスしていないか確認する。
40B3,SFC のRUN 中書込でSFC 図を示す「STEP開始命令や移行開始命令など」の「SFC 専用命令」の書換え操作を実施しようとした。（SFC 専用命令はRUN 中書込できません。）,CPU ユニットをSTOP 状態にしてからプログラムを書き込む。
4100,CPU ユニットのハードウェア異常,CPU ユニットを交換する。
4101,シリアル通信接続を実施したCPU ユニットのシリーズが異なる。,CPU ユニットのシリーズを確認する。
4102,ファイルレジスタ使用中にフラッシュROMをイレースしようとした。,CPU ユニットをSTOP 状態にし，再度実行する。
4103,RUN 中書込した命令が間違っている。不正である。,再度RUN 中書込を実施するか，CPU ユニットをSTOP 状態にしてからプログラムを書き込む。
4105,CPUユニット内部メモリのハードウェア異常,CPU ユニットを交換する。
4106,CPU ユニットがシステム初期化処理中のため，コマンドを実行できない。,CPU ユニットが起動してから，再度操作を実行する。
4107,対象CPU ユニット形名では，機能がない操作を実施しようとした。,対象CPU ユニットで未サポートの機能を実施しない。
4108,デバイスモニタ／テストで正常に処理できない。,再度，機能を実施する。アクセス禁止エリアにアクセスしていないか確認後，再度実行する。
4109,同一コンピュータの他アプリケーションでモニタ条件を設定したモニタを実行中であるため，指定の操作を実行できない。,モニタ条件を設定した画面において，モニタ条件登録を解除した後，同操作を再実行する。
410A,RUN 中書込中のため，指定のコマンドを実行できない。,RUN 中書込完了後，再度同操作を実行する。
410B,RUN 中書込により，モニタ条件の登録が解除された。,RUN 中書込完了後，再度モニタ条件を登録する。
4110,CPU ユニットが停止エラー状態のため，要求内容を実行できない。,CPU ユニットをリセット後，再度要求を実行する。
4111,,
4121,指定のドライブ( メモリ）またはファイルが存在しない。,指定のドライブ( メモリ）またはファイルを確認後，再度実行する。
4122,指定のドライブ( メモリ）またはファイルが存在しない。,指定のドライブ( メモリ）またはファイルを確認後，再度実行する。
4123,指定ドライブ( メモリ）が異常である。,"PC メモリフォ－マットを実施し，ドライブ( メモリ）を正常にする。
フラッシュROM の場合は，フラッシュROM の書込み内容を確認し，フラッシュROM 書込みを実施する。"
4124,指定ドライブ( メモリ）が異常である。,"PC メモリフォ－マットを実施し，ドライブ( メモリ）を正常にする。
フラッシュROM の場合は，フラッシュROM の書込み内容を確認し，フラッシュROM 書込みを実施する。"
4125,指定されたドライブ( メモリ）またはファイルは処理中,しばらくしてから再度実行する。
4126,指定されたドライブ( メモリ）またはファイルは処理中,しばらくしてから再度実行する。
4127,,
4128,,
4129,指定されたドライブ( メモリ）がROM であるため実行不可,対象ドライブ( メモリ）を変更後，再度実行する。
412A,指定されたドライブ( メモリ）がROM であるため実行不可,対象ドライブ( メモリ）を変更後，再度実行する。
412B,指定されたドライブ( メモリ）は書込み禁止,書込み禁止条件またはドライブ( メモリ）を変更後，再度実行する。
412C,指定されたドライブ( メモリ）は書込み禁止,書込み禁止条件またはドライブ( メモリ）を変更後，再度実行する。
412D,指定されたドライブ( メモリ）の空き容量不足,ドライブ（メモリ）の空き容量を増加し，再度実行する。
412E,指定されたドライブ( メモリ）の空き容量不足,ドライブ（メモリ）の空き容量を増加し，再度実行する。
412F,ドライブ( メモリ）のコピー先とコピー元でドライブ( メモリ）の容量が異なる。,コピー先とコピー元のドライブ（メモリ）を確認後，再度実行する。
4130,ドライブ( メモリ）のコピー先とコピー元でドライブ( メモリ）の種類が異なる。,コピー先とコピー元のドライブ（メモリ）を確認後，再度実行する。
4131,ファイルのコピー先とコピー元でファイル名が同一である。,ファイル名を確認後，再度実行する。
4132,指定された数のファイルが存在しない。,指定内容を確認し，再度実行する。
4133,指定されたドライブ（メモリ）に空きがない。,ドライブ（メモリ）の空き容量を増加し，再度実行する。
4134,ファイルの属性指定データが間違っている。,指定内容を確認し，再度実行する。
4135,周辺装置側（パソコン）の日付／時間データが範囲を超えている。,周辺装置側（パソコン）の時計設定を確認後，再度実行する。
4136,指定ファイルがすでに存在する。,指定のファイル名を確認し，再度実行する。
4137,指定されたファイルは読出し専用ファイルである。,指定ファイルの条件を変更後，再度実行する。
4138,同時にアクセス可能なファイルがMAX を超えた。,ファイル操作を減少させて，再度実行する。
4139,指定のファイルがすでに存在するファイルのファイルサイズの範囲をオーバーしている。,指定ファイルのサイズを確認後，再度実行する。
413A,指定のファイルがすでに存在するファイルのサイズをオーバーしている。,指定ファイルのサイズを確認後，再度実行する。
413B,異なるプログラミングツールから同一ファイルのアクセスを同時に実施した。,しばらくしてから再度実行する。
413C,指定されたファイルは書込み禁止ファイルである。,ファイルの条件を変更後，再度実行する。
413D,指定されたファイルの容量が確保できない。,指定ドライブ( メモリ）の容量を増加し，再度実行する。
413E,指定したドライブ（メモリ）には操作不可である。,対象ドライブ( メモリ）を変更後，再度実行する。
413F,標準RAM への書込みが禁止されているファイルである。,指定のドライブ（メモリ）を変更後，再度実行する。
4150,システムで保護されているドライブをフォーマットしようとした。,対象ドライブ（メモリ）はフォーマットできないため，フォーマットしない。
4151,システムで保護されているファイルを削除しようとした。,対象ファイルは削除できないため，削除しない。
4160,強制入出力登録数がMAX 値を超えた。,使用していない強制入出力登録の登録を解除する。
4165,複数ブロックRUN 中書込み用システムファイルが存在しない。,PC メモリフォーマット時に複数ブロックRUN 中書込みを可能にするエリアを確保してから，再度実行する。
4166,同一起動元でファイルのRUN 中書込み実施中のため実行不可,"以前に実施したファイルのRUN中書込みがなんらかの理由( 例：実行中の通信障害など）により，異常終了したままの状態となっているため，ファイルのRUN中書込みが不可の状態となっている。
強制的に新しいファイルのRUN中書込みを実施する。"
4167,他の起動元からファイルのRUN中書込み実施中のため実行不可,"以前に実施した他の通信経路からのファイルのRUN中書込みがなんらかの理由( 例：実行中の通信障害など）により，異常終了したままの状態となっているため，ファイルのRUN中書込みが不可の状態となっている。
他のプログラミングツールでファイルのRUN中書込みを実施していなければ，強制的に新しいファイルのRUN中書込みを実施する。"
4168,実行条件付きデバイステスト登録個数が32個を超えている。,CPU ユニットに登録されている実行条件付きデバイステストを登録解除する。または，一度に登録する実行条件付きデバイステストの個数を減らす。
4169,実行条件付きデバイステストが1 つも登録されていない。,CPU ユニットに登録されている実行条件付きデバイステストの個数を確認後，実行条件付きデバイステストの登録を解除する。
416A,"指定した実行条件が存在しない。
( 実行条件付きデバイステスト)",登録解除時に指定した実行条件( プログラム，ステップNo.，演算タイミング，デバイス名) がCPU ユニットに登録されているか確認する。
416B,指定したプログラムはSFC プログラムである。( 実行条件付きデバイステスト),実行条件付きデバイステスト登録/ 登録解除時に指定するプログラム名を見直す。
414A,,
414C,アクセス不可のバッファメモリアドレスを指定した。,バッファメモリのアドレスを確認後，再度実施する。
4170,リモートパスワードに誤りがある。,指定したリモートパスワードを見直し，リモートパスワードのアンロック処理/ロック処理を再実行する。
4171,交信に使ったポートがリモートパスワードのロック状態である。,リモートパスワードのアンロック処理を実行した後，交信を行う。
4174,リモートパスワードのアンロック処理を要求した機器と異なる。,"・リモートパスワードを設定し，MELSOFT接続でUDPで使用する場合は，同時に複数の相手機器から交信しないようにする。
・リモートパスワードを設定する場合は，MELSOFT接続はTCPで使用する。"
4176,直結接続で交信異常が発生した。,"・直結接続でない場合は，直結接続の指定を行わないようにする。
・直結接続の場合，交信途中でCPU ユニットを電源OFF，リセットしたり，ケーブルを抜いたりしないようにする。"
4178,"・FTP 機能動作中のためファイル操作はできない。
・FTP 機能動作中にプログラミングツールよりファイルアクセスを伴うオンライン操作を行った。",FTP 機能の動作が完了してから再実行する。
4180,システムエラー（OS内の設定データ異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニット の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4181,相手機器に送信できない。,"・相手機器の動作を確認する。
・ケーブル，ハブ，ルータなど，相手機器との回線の状態を確認する。
・回線でパケットが混みあっている場合があるので，少し時間を置き，リトライする。"
4182,相手機器との交信でタイムアウトが発生した。,"・相手機器の動作を確認する。
・ケーブル，ハブ，ルータなど，相手機器との回線の状態を確認する。
・回線でパケットが混みあっている場合があるので，少し時間を置き，リトライする。"
4183,相手機器との交信が中断された。,"・相手機器の動作を確認する。
・ケーブル，ハブ，ルータなど，相手機器との回線の状態を確認する。
・交信中のコネクションをコネクション強制無効化した場合に発生することがある。その場合は問題はないのでクリアする。"
4184,"・MC プロトコルで要求伝文受信が連続したため，通信処理バッファがなくなった。
・ソケット通信で受信データ読出しが行われない，または追いつかないため，通信処理バッファがなくなった。
・通信処理バッファがなくなったため，通信処理ができない。","・MC プロトコルの場合，要求に対する応答を待ってから，次の要求を送信する。
・ソケット通信の場合，受信データ読出しを行うようにする。
・ソケット通信の場合，相手機器からの送信データ量を削減する。"
4185,"・MC プロトコルで応答を返す前に相手機器とのコネクションが切断された。
・通信中に相手機器とのコネクションが切断された。","・MC プロトコルの場合，応答が返ってからコネクションを切断するようにする。
・一連の通信が完了してからコネクションを切断するようにする。
・他のエラー(4184H など) が原因の場合があるため，他のエラーが発生している場合は，そのエラーの対処を行う。"
4186,システムエラー（OS内の引数データ異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4187,システムエラー（OS内のウェイト処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4188,システムエラー（OS内のデータ長異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4189,システムエラー（OS内のプロトコル情報異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
418A,システムエラー（OS内の相手アドレスデータ異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
418B,システムエラー（OS内のプロトコル情報異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
418C,システムエラー（OS内のプロトコル指定処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
418D,システムエラー（OS内のタイプデータ異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
418E,システムエラー（OS内の優先データ処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
418F,システムエラー（OS内のプロトコル情報異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4190,システムエラー（OS内のプロトコル情報異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4191,システムエラー（OS内の相手先アドレス処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4192,システムエラー（OS内の自機側アドレス処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4193,システムエラー（OS内の送信処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4194,システムエラー（OS内の送信処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4195,システムエラー（OS内の送信処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4196,システムエラー（OS内の送信処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
