B313,全局異常エラー。全局異常になっているシステムにおいて，マスタ→待機マスタ強制切換え要求を(SB000C)を実施した。,待機マスタ局をデータリンクさせてから，マスタ→待機マスタ強制切換え(SB000C)を実行する。
B314,切換え対象エラー。マスタ局以外の局に，マスタ→待機マスタ強制切換え(SB000C)を実施した。,マスタ局に対して，マスタ→待機マスタ強制切換え(SB000C)を実行する。
B315,マスタ局強制切換えエラー。マスタ局が待機マスタ局に切換え中に，再度，強制マスタ切換え（SB000C）を指示した。,強制マスタ切換え（SB000C）のON/OFFを見直す。
B317,ネットワーク起動設定モードエラー。GX Works2でパラメータ設定されているユニットに対して，G(P).RLPASET命令を実施した。シーケンサシステムの電源をOFF→ONまたは，シーケンサCPUをリセットせずにパラメータ設定を変更した。,"G(P).RLPASET命令を使用するときの手順を下記に示します。
1.GX Works2で対象ユニットのネットワークパラメータ，自動リフレッシュパラメータの設定をクリアする。
2.GX Works2のI/O割付設定の種別をインテリに設定する。
3.GX Works2のインテリジェント機能ユニットスイッチ4を0100Hに設定する。
4.シーケンサシステムの電源をOFF→ONまたは，シーケンサCPUをリセットする。"
B31A,データリンク中。すでにデータリンクが開始されている状態で，マスタ局重複エラー解除指示を実行した。,データリンク中は，マスタ局重複エラー解除指示を実行しないようにする。
B31B,伝送速度テスト実行エラー。データリンク中に伝送速度テストを実行した。,データリンクを停止してから，伝送速度テストを実行する。
B31C,システムエラー。,最寄りの代理店または支社へ説明・相談する。
B31D,システムエラー。,最寄りの代理店または支社へ説明・相談する。
B31E,ステータスロギング開始異常。ログの消去中にロギングを開始した。,ログの消去が完了してからロギングを開始する。
B31F,ステータスロギングクリア異常。ロギング中にログの消去を行った。,ロギングを停止してからログの消去を行う。
B320,ステータスロギングモード不正。リモートI/Oネットモード時に，ロギングまたはログの消去を行った。,リモートネットモードに設定してからロギングの開始，またはログの消去を行う。
B321,システムエラー。,最寄りの代理店または支社へ説明・相談する。
B322,"ステータスロギングフラッシュROM消去不正。データリンク中に""RAM+フラッシュROM""にチェックをいれた状態でログの消去を行った。",データリンクを停止してからログの消去を行う。
B323,"ステータスロギングフラッシュROM消去未完了。""RAM+フラッシュROM""にチェックをいれた状態でログの消去を行ったが，消去未完了状態にも関わらずロギングを開始した。","再度""RAM+フラッシュROM""にチェックをいれた状態でログの消去を行う。"
B324,ステータスロギングフラッシュROM格納異常。フラッシュROMにログを格納できない状態にも関わらず，フラッシュROMにログを格納しようとした。,"""RAM+フラッシュROM""にチェックをいれた状態でログの消去を行ってから，ロギングを開始する。または，""RAM""にチェックをいれた状態でロギングを開始する。"
B325,ステータスロギングフラッシュROM異常。フラッシュROMにログを格納した累計回数が10万回を超えた。,"""RAM""にチェックをいれた状態でロギングを開始する。
""RAM+フラッシュROM""を行う場合は，ユニットを交換する。"
B384,局番設定エラー（パラメータ）。パラメータの局情報で，局番（占有局数を含む）が“1H～40H以外”に設定されている。,“1H～40H”の範囲で設定する。
B385,総局数エラー（パラメータ）。パラメータの局情報で，設定されている占有局数の合計が64を超えている。,64以下になるようにパラメータを設定する。
B386,占有局数設定エラー（パラメータ）。パラメータの局情報で，すべての占有局数が“0”に設定されている。,占有局数の値を“1～4”の値を範囲で設定する。
B387,ディレイ時間設定エラー(パラメータ)。マスタ局ネットワークパラメータのディレイ時間が設定範囲外に設定されている。,設定範囲内に設定する。
B388,局タイプ設定エラー（パラメータ）。リモートネットVer.1モード時に，パラメータの局情報の局タイプが“0～3以外”に設定されている。,リモートネットVer.1モード時は，“0～3”の範囲で設定する。
B38B,リモートデバイス局設定エラー（パラメータ）。パラメータの局情報にリモートデバイス局が“43台分以上”設定されている。,リモートデバイス局を“42台分以下”で設定する。
B38C,インテリジェントデバイス局設定エラー（パラメータ）。パラメータの局情報にインテリジェントデバイス局（ローカル局を含む）が“27台分以上”設定されている。,インテリジェントデバイス局を“26台分以下”で設定する。
B38D,無効局指定エラー（パラメータ）。パラメータの無効局指定で“ユニットの先頭局番以外”または“パラメータで設定されていない局番”が設定されている。＜先頭局番以外の例＞4局占有（局番5～8）のユニットに対して，局番5以外のビットをONしている。,“ユニットの先頭局番”を設定する。“パラメータで設定されていない局番”を設定しない。
B38E,送受信バッファ割付エラー(パラメータ)。パラメータの局情報で，送受信バッファサイズの合計が4Kワードを超えている。,送受信バッファの合計サイズを4Kワード以下で設定する。
B38F,自動更新バッファ割付エラー(パラメータ)。パラメータの局情報で，自動更新バッファサイズの合計が4Kワードを超えている。,自動更新バッファの合計サイズを4Kワード以下で設定する。
B390,待機マスタ局指定エラー（パラメータ）。パラメータの待機マスタ局指定が“1～64以外”に設定されている。,待機マスタ局指定を“1～64”の範囲で指定する。
B391,リトライ回数設定エラー（パラメータ）。パラメータのリトライ回数が“1～7以外”に設定されている。,“1～7”の範囲で設定する。
B392,CPUダウン時運転指定エラー（パラメータ）。パラメータのCPUダウン時運転指定が“0または1以外”に設定されている。,“0または1”を設定する。
B393,スキャンモード指定エラー（パラメータ）。パラメータのスキャンモード指定が“0または1以外”に設定されている。,“0または1”を指定する。
B394,自動復列台数設定エラー（パラメータ）。パラメータの自動復列台数が“1～10以外”に設定されている。,“1～10”の範囲で設定する。
B396,局番重複エラー（パラメータ）。パラメータの局情報で局番が重複して設定されている。,局番が重複しないように設定する。
B397,"局情報設定エラー（パラメータ）。パラメータの局情報が下記の条件を満たしていない。
(16×A)＋(54×B)＋(88×C)≦2304　
A：リモートI/O局の台数　
B：リモートデバイス局の台数　
C：インテリジェントデバイス局（ローカル局を含む）の台数",上記の条件を満たすようにパラメータを設定する。
B398,占有局数設定エラー（パラメータ）。パラメータの局情報で，占有局数が“1～4以外”に設定されている。,“1～4”の範囲で設定する。
B399,接続台数設定エラー（パラメータ）。パラメータの接続台数が“1～64以外”に設定されている。,“1～64”の範囲で設定する。
B39A,待機マスタ局指定エラー（実装状態）。待機マスタ局の局番設定スイッチの局番設定と，マスタ局のネットワークパラメータ“待機マスタ局番号”の局番設定が異なる，またはマスタ局のネットワークパラメータ“待機マスタ局番号”で設定された局がローカル局である。,マスタ局のパラメータを変更するか，ローカル局／待機マスタ局の局番設定スイッチを変更したあとに，ローカル局／待機マスタ局のシーケンサCPUをリセットする。
B39B,予約局設定エラー。全局予約局に設定されている。,予約局設定をチェックする。
B39C,"待機マスタ局設定エラー。マスタ局ネットワークパラメータの""待機マスタ局番号""で指定された局番の局種別がインテリジェントデバイス局以外に設定されている。マスタ局と待機マスタ局のモード設定が異なっている。",待機マスタ局をインテリジェントデバイス局に指定する。マスタ局と待機マスタ局のモード設定を合わせる。
B39D,予約局0点設定エラー。リモートネット追加モードで予約局0点設定されている。予約局でない局が予約局0点設定されている。,モードをリモートネットVer.2モードにする。予約局0点設定の局を予約局に設定する。
B39E,8点/16点リモートI/O局設定エラー。リモートネット追加モードでリモートI/O局の点数設定が8点/16点設定されている。リモートI/O局以外の局に対して8点/16点設定している。同一リモートI/O局に対して8点設定と16点設定を行っている。,モードをリモートネットVer.2モードにする。リモートI/O局に対して8点/16点設定を行う。リモートI/O局に対する設定を8点設定，16点設定のいずれかにする。
B39F,リモートネット追加モード局番不正。リモートネット追加モード時，ネットワークパラメータが“Ver.1対応子局の最大局番＞Ver.2対応子局の最小局番”になっている。,リモートネット追加モード時は，“Ver.1対応子局の最大局番＜Ver.2対応子局の最小局番”になるようネットワークパラメータを設定する。
B3A0,モード不正(マスタ－ローカル局/待機マスタ局間)。マスタ局とローカル局/待機マスタ局でモード不正が発生している。･マスタ局と待機マスタ局で，モードが異なっている。･ローカル局がリモートネット追加モードで，マスタ局がリモートネット追加モード以外に設定されている。･ローカル局がリモートネットVer.2モード／リモートネット追加モードで，マスタ局がリモートネットVer.1モードになっている。,マスタ局とローカル局/待機マスタ局のモードの不整合を修正後，シーケンサCPUをリセットする。
B3A1,待機マスタ設定不正。専用命令でパラメータ設定時，インテリジェント機能ユニットスイッチ設定のスイッチ5に不正な値が設定されている。,インテリジェント機能ユニットスイッチ設定のスイッチ5に正しい値を設定する。
B3A2,リモートI/Oネットモード局種別不正。専用命令でパラメータ設定時，リモートI/Oネットモードで，リモートI/O局以外の局種別が設定されている。,局種別を，すべてリモートI/O局に設定する。
B3A3,割付けエラー。リモートネットVer.2モード使用時，リモートネット追加モード使用時，局情報のリモート点数の合計が，最大点数8192点を超えている。,局情報設定のリモート局点数を見直す。
B3A4,パラメータ不一致。マスタ局二重化機能で，待機マスタ局がマスタ局として動作しているときに，ダウンしているマスタ局のネットワークパラメータを変更した。,マスタ局のネットワークパラメータを元にもどす。
B3A5,モード不正(パラメータ)。G(P).RLPASET命令のコントロールデータでセットされたモードとインテリジェントユニットスイッチ設定のスイッチ3でセットされたモードが異なっている。,G(P).RLPASET命令のコントロールデータとインテリジェントユニットスイッチ設定のスイッチ3の設定を見直す。
B401,パラメータ変更エラー。トランジェント要求中にパラメータ変更を実施した。,すべてのトランジェント要求完了後，または，要求前にパラメータを変更する。
B404,応答エラー。要求先の局から監視時間内に応答が返ってこない。,監視時間の設定値を長くする。それでもエラーが発生する場合，要求先のユニットの確認，ケーブルの確認を行う。
B405,トランジェント対象局エラー。リモートI/O局，リモートデバイス局へトランジェント要求が発行された。,対象局をローカル局，インテリジェントデバイス局にする。
B410,受信バッファサイズエラー。専用命令の受信バッファサイズが応答データサイズよりも小さい。,受信バッファサイズを見直す。
B411,データ長範囲外。専用命令のコントロールデータの読出し点数／書込み点数が設定範囲外である。,読出し点数／書込み点数を設定範囲内にする。
B412,局番号範囲外。専用命令のコントロールデータの局番号が設定範囲外である。,局番号を設定範囲内にする。
B413,要求エラー。同一局へ専用命令を複数実行した。,シーケンスプログラムを見直す。
B414,インタロック信号データ範囲外。G(P).RIRCV命令，G(P).RISEND命令のインタロック信号格納デバイスの設定が設定範囲外である。,インタロック信号格納デバイスの設定を設定範囲内にする。
B418,システムエラー。,最寄りの代理店または支社へ説明・相談する。
B601,要求種別異常。対応していない要求を受信した。,要求内容または対象局番を確認する。
B602,トランジェント要求過負荷エラー。該当局へのトランジェント要求が多すぎる。,しばらく待ってから送信する（トランジェント過負荷状態）。
B603,トランジェント要求過負荷エラー。該当局へのトランジェント要求が多すぎる。,しばらく待ってから送信する（トランジェントの過負荷状態）。
B604,回線テスト処理中。回線テスト処理中にトランジェント伝送を行った。,しばらく待ってから送信する。
B605,トランジェント格納。バッファ取得不可。トランジェント格納バッファを取得できなかった。,しばらく待ってから送信する。
B607,対象局CPU異常。対象局CPUが異常である。,対象局CPUをチェックする。
B771,トランジェント要求過負荷エラー。該当局へのトランジェント要求が多すぎる。,しばらく待ってから送信する（トランジェントの過負荷状態）。
B774,トランジェント要求エラー。対象局がインテリジェントデバイス局ではなかった。,対象局がインテリジェントデバイス局か確認する。
B778,応答タイムアウト。要求先から応答が返ってこない。,要求先のユニット確認，ケーブルの確認を行う。
B780,ユニットモード設定エラー。対象局がI/Oモードに設定されているにも関わらず，トランジェント伝送を実行した。,対象局をインテリモードに設定する。
B782,局番指定エラー。他局接続指定時に送信先局と送信元局が同一である。,送信先局番を確認する。または自局接続に変更する。
B783,トランジェント格納バッファエラー。1kを越えるトランジェント伝送時に，トランジェント格納バッファにエラーが発生した。,しばらく待ってから送信する。
B801,アクセスコード設定エラー。存在しないアクセスコード・属性を設定した。,正しいアクセスコード・属性を設定する。
B802,アクセスコードエラー。存在しないアクセスコードが使用された。,正しいアクセスコードを使用する。
B803,データ点数エラー。データ点数が範囲外である。,データ点数を1～960バイトの範囲に設定する。
B804,属性定義エラー。トランジェント伝送未サポート局指定エラー。属性定義が不正である。または対象局がトランジェント伝送未サポート局にも関わらず，トランジェント伝送を実行した。,属性定義を見直す。対象局番の指定内容を見直す。または対象ローカル局の機能バージョン，ソフトウェアバージョンを確認する。
B805,データ点数エラー。データ数が範囲外である。,書込み時1～100，読出し時1～160の範囲に設定する。
B807,デバイス番号エラー。デバイスの先頭番号が範囲外である。もしくは，ビットデバイスアクセス時に，アドレスが16の倍数でない。,デバイスの先頭番号が範囲を超えないようにする。もしくは，ビットデバイスアクセス時は，アドレスを16の倍数に設定する。
B80D,設定範囲エラー。設定した（アドレス，点数）の組合せが処理可能範囲を越えている。,処理点数がデバイス範囲を越えないようにする。
B814,ファイルレジスタ容量設定エラー。ファイルレジスタの容量が設定されていない。,ファイルレジスタの容量を設定する。
B815,ユニットモード設定エラー。対象局がI/Oモードに設定されているにも関わらず，トランジェント伝送を実行した。,対象局をインテリモードに設定する。
B823,リモート制御モードエラー。リモート制御のモード指定が間違っている。,モード指定をチェックする。
B903,トランジェント要求エラー。送受信バッファのエリアを確保していない局へトランジェント要求を発行した。,パラメータにより送受信バッファのエリアを確保する。
B904,送受信バッファサイズ設定エラー。専用命令実行時，該当局の送受信バッファサイズの設定が範囲外である,該当局の送受信バッファサイズを範囲内に設定する。
B905,トランジェントデータ長エラー。専用命令実行時，該当局の送受信バッファサイズよりトランジェントデータ長が大きい。,該当局の送受信バッファサイズをトランジェントデータ長より大きくする。
B982,"パラメータのチェックサム異常
・QCPU内に格納されているパラメータのチェックサム値が異常である。
サイクリックデータ局単位保証機能未対応ユニット
・サイクリックデータ局単位保証機能に未対応のQJ61BT11Nが装着されている。","・CPUを交換する。
・サイクリックデータ局単位保証機能に対応したQJ61BT11Nに交換する。"
B987,"サイクリックデータ局単位保証設定エラー
サイクリックデータ局単位保証機能に未対応のシーケンサCPUが装着されている。",サイクリックデータ局単位保証機能に対応したシーケンサCPUに交換する。
BA19,該当局異常。回線テストでテスト該当局が交信できない状態になった。,ケーブルおよび該当局をチェックする。
BA1B,全局異常。回線テスト1で全局が交信異常になった。,ケーブルをチェックする。
BA1E,MFP送信バッファ切換え異常。RAM診断時にMFP送信バッファの切換えに失敗した。,"以下の手順で対処する。
(1)ユニットが正しく装着されているか確認する。
(2)ユニットの使用環境が、CPUユニットの一般仕様の範囲内か確認する。
(3)電源容量が足りているか確認する。
(4)ユニットが単体で正常に動作するか確認する。
(5)最寄の代理店または支社へ説明･相談する。"
BA1F,RAM診断異常。RAM診断時に対象とするRAMに書込んだ値と読出した値が一致しなかった。,"以下の手順で対処する。
(1)ユニットが正しく装着されているか確認する。
(2)ユニットの使用環境が、CPUユニットの一般仕様の範囲内か確認する。
(3)電源容量が足りているか確認する。
(4)ユニットが単体で正常に動作するか確認する。
(5)最寄の代理店または支社へ説明･相談する。"
BA20,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BA21,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BB01,"同時実行エラー。以下のいずれかを，同一局に対して同時に実行しようとした。（同一要求を含む）
・リモートデバイス局イニシャライズ手順登録機能
・G(P).RISEND，G(P).RIRCV命令
・周辺機器からのリモートデバイス局アクセス",他の処理が完了してから実行する。
BBC2,局番設定エラー。ユニットの局番設定スイッチが“0～64”以外に設定されている。もしくは最終局番が64を越えている。,ユニットの局番および占有局数をチェックする。
BBC5,マスタ局重複エラー。同一回線上にマスタ局が複数存在する。もしくは電源投入時に回線上のノイズを検出した。,同一回線上のマスタ局を1台にする。もしくはSB0007(マスタ局重複エラー解除要求）をONして，データリンク開始される場合は，回線状態をチェックする。
BBCA,待機マスタ局重複エラー。同一回線上に待機マスタ局が複数存在する。,同一回線上の待機マスタ局は1台にする。または，回線状態をチェックする。
BBD2,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BBD3,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC01,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC03,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC04,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC05,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC06,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC07,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC50,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC51,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC52,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC53,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC54,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC55,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC57,要求重複エラー。周辺機器からのリモートデバイス局アクセスを，同一局に対して重複して実行しようとした。,他の処理が完了してから実行する。
BC58,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC59,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC5B,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC5C,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC5D,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC5E,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC5F,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC60,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BC70,同時実行数エラー（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセスにおいて，同時実行数を超える要求を行った。,要求の実行は，同時に4台以下にする。
BC71,未サポートエラー（リモートデバイス局アクセス）。マスタ局以外でリモートデバイス局アクセス機能を実行しようとした。,該当機能は，マスタ局から実行する。
BC72,"対象局エラー（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセスの対象局が以下のいずれかになっている。・ネットワークパラメータに存在しない。
・先頭局番ではない。
・予約局になっている。
・データリンク異常になっている。（全局異常も含む）",パラメータ，もしくは対象局の動作を確認する。
BC73,対象局指定エラー（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセスの対象局がリモートI/O局である。,指定した対象局番および，対象局の局種別を確認する。
BC74,デバイス番号エラー（リモートデバイス局アクセス）。指定された｢RX｣｢RY｣｢RWw｣｢RWr｣のデバイス番号が，接続された対象局の有効デバイス範囲外に指定された。,パラメータおよび，対象局の有効デバイス番号を確認する。
BC75,全局データリンク異常（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセス実行中に全局データリンク異常が発生した。,データリンクが起動してから要求を発行する。
BC76,タイムチェックオーバー（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセスでタイムチェックオーバーが発生した。,要求発行元アプリケーションでタイムチェック時間を長くするか，対象となる子局の動作を確認する。
BD85,ハードウェア異常検出。ハードウェアの異常を検出した。,QJ61BT11N，CPUユニット，ベースユニット，他ユニットのいずれかのハードウェア異常が考えられるので，最寄りの代理店または支社へ説明・相談する。
BF11,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF12,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF13,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF14,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF15,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF16,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF17,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF18,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF19,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF1A,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF1B,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF1C,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF20,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF30,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF31,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF32,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF33,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF34,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF35,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF36,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF37,システムエラー。,最寄りの代理店または支社へ説明・相談する。
BF38,実行結果読出しエラー（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセスで，実行結果読出し処理において異常を検出した。,"・要求発行元のアプリケーションを確認する。
・別の周辺機器からのリモートデバイス局アクセスの実行がないか確認する。"
BF39,要求手順エラー（リモートデバイス局アクセス）。周辺機器からのリモートデバイス局アクセスで，要求手順の異常を検出した。,"・要求発行元のアプリケーションを確認する。
・複数の周辺機器からのリモートデバイス局アクセスの実行がないか確認する。
・バッファメモリのシステムエリアに値を書込んでいないか確認する。"
BFFB,トランジェント要求過負荷エラー。GX Works2，GOTからのトランジェント要求が多すぎる,しばらく待ってから送信する（トランジェント過負荷状態）。
BFFE,CPU監視タイマタイムアップ。CPU監視タイマがタイムアップした。,対象局の動作を確認する。
</ERRCODE>,,
