<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"The node No. (MAC ID) value is out of range.
The mode switch value is out of range.","Set the node No. within the range of 0 to 63.
Set the mode switch to any other than D to F."
0116,"(The node No.22)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0117,"(The node No.23)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0118,"(The node No.24)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0119,"(The node No.25)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
011A,"(The node No.26)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
011B,"(The node No.27)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
011C,"(The node No.28)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
011D,"(The node No.29)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
011E,"(The node No.30)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
011F,"(The node No.31)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0120,"(The node No.32)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0121,"(The node No.33)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0122,"(The node No.34)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0123,"(The node No.35)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0124,"(The node No.36)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0125,"(The node No.37)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0126,"(The node No.38)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0127,"(The node No.39)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0128,"(The node No.40)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0129,"(The node No.41)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
012A,"(The node No.42)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
012B,"(The node No.43)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
012C,"(The node No.44)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
012D,"(The node No.45)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
012E,"(The node No.46)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
012F,"(The node No.47)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0130,"(The node No.48)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0131,"(The node No.49)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0132,"(The node No.50)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0133,"(The node No.51)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0134,"(The node No.52)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0135,"(The node No.53)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0136,"(The node No.54)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0137,"(The node No.55)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0138,"(The node No.56)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
0139,"(The node No.57)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
013A,"(The node No.58)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
013B,"(The node No.59)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
013C,"(The node No.60)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
013D,"(The node No.61)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
013E,"(The node No.62)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
013F,"(The node No.63)
A network problem was detected after communication was started.",Check that the cables are connected correctly.
1E00,"(The node No.00)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E01,"(The node No.01)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E02,"(The node No.02)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E03,"(The node No.03)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E04,"(The node No.04)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E05,"(The node No.05)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E06,"(The node No.06)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E07,"(The node No.07)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E08,"(The node No.08)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E09,"(The node No.09)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E0A,"(The node No.10)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E0B,"(The node No.11)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E0C,"(The node No.12)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E0D,"(The node No.13)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E0E,"(The node No.14)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E0F,"(The node No.15)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E10,"(The node No.16)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E11,"(The node No.17)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E12,"(The node No.18)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E13,"(The node No.19)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E14,"(The node No.20)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E15,"(The node No.21)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E16,"(The node No.22)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E17,"(The node No.23)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E18,"(The node No.24)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E19,"(The node No.25)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E1A,"(The node No.26)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E1B,"(The node No.27)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E1C,"(The node No.28)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E1D,"(The node No.29)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E1E,"(The node No.30)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E1F,"(The node No.31)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E20,"(The node No.32)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E21,"(The node No.33)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E22,"(The node No.34)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E23,"(The node No.35)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E24,"(The node No.36)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E25,"(The node No.37)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E26,"(The node No.38)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E27,"(The node No.39)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E28,"(The node No.40)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E29,"(The node No.41)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E2A,"(The node No.42)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E2B,"(The node No.43)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E2C,"(The node No.44)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E2D,"(The node No.45)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E2E,"(The node No.46)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E2F,"(The node No.47)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E30,"(The node No.48)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E31,"(The node No.49)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E32,"(The node No.50)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E33,"(The node No.51)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E34,"(The node No.52)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E35,"(The node No.53)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E36,"(The node No.54)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E37,"(The node No.55)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E38,"(The node No.56)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E39,"(The node No.57)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E3A,"(The node No.58)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E3B,"(The node No.59)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E3C,"(The node No.60)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E3D,"(The node No.61)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E3E,"(The node No.62)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
1E3F,"(The node No.63)
The slave node did not respond.","Check the entire network and slave node states for MAC ID and baud rate setting, a failed slave node, or disconnection of a terminating resistor."
2000,"(The node No.00)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2001,"(The node No.01)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2002,"(The node No.02)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2003,"(The node No.03)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2004,"(The node No.04)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2005,"(The node No.05)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2006,"(The node No.06)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2007,"(The node No.07)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2008,"(The node No.08)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2009,"(The node No.09)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
200A,"(The node No.10)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
200B,"(The node No.11)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
200C,"(The node No.12)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
200D,"(The node No.13)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
200E,"(The node No.14)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
200F,"(The node No.15)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2010,"(The node No.16)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2011,"(The node No.17)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2012,"(The node No.18)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2013,"(The node No.19)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2014,"(The node No.20)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2015,"(The node No.21)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2016,"(The node No.22)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2017,"(The node No.23)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2018,"(The node No.24)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2019,"(The node No.25)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
201A,"(The node No.26)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
201B,"(The node No.27)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
201C,"(The node No.28)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
201D,"(The node No.29)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
201E,"(The node No.30)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
201F,"(The node No.31)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2020,"(The node No.32)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2021,"(The node No.33)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2022,"(The node No.34)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2023,"(The node No.35)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2024,"(The node No.36)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2025,"(The node No.37)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2026,"(The node No.38)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2027,"(The node No.39)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2028,"(The node No.40)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2029,"(The node No.41)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
202A,"(The node No.42)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
202B,"(The node No.43)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
202C,"(The node No.44)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
202D,"(The node No.45)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
202E,"(The node No.46)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
202F,"(The node No.47)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2030,"(The node No.48)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2031,"(The node No.49)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2032,"(The node No.50)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2033,"(The node No.51)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2034,"(The node No.52)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2035,"(The node No.53)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2036,"(The node No.54)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2037,"(The node No.55)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2038,"(The node No.56)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2039,"(The node No.57)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
203A,"(The node No.58)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
203B,"(The node No.59)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
203C,"(The node No.60)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
203D,"(The node No.61)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
203E,"(The node No.62)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
203F,"(The node No.63)
A slave node responded with a nonprescribed error.","Read the communication error information, and take an appropriate action according to the error information."
2300,"(The node No.00)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2301,"(The node No.01)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2302,"(The node No.02)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2303,"(The node No.03)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2304,"(The node No.04)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2305,"(The node No.05)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2306,"(The node No.06)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2307,"(The node No.07)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2308,"(The node No.08)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2309,"(The node No.09)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
230A,"(The node No.10)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
230B,"(The node No.11)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
230C,"(The node No.12)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
230D,"(The node No.13)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
230E,"(The node No.14)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
230F,"(The node No.15)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2310,"(The node No.16)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2311,"(The node No.17)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2312,"(The node No.18)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2313,"(The node No.19)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2314,"(The node No.20)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2315,"(The node No.21)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2316,"(The node No.22)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2317,"(The node No.23)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
2318,"(The node No.24)
A slave node responded with an error when establishing a connection.","Read the communication error information, and take an appropriate action according to the error information."
